film,year_film,Total oscars nominations,Total oscars won,Oscars main categories nominations,Oscars main categories won,Oscars best picture,G.G. nominations,G.G. won,G.G. main categories nominations,G.G. main categories won,G.G. best motion picture
The Secret of Santa Vittoria,1969,2.0,0.0,0.0,0.0,0.0,6.0,1.0,4.0,1.0,1.0
An Impression of John Steinbeck: Writer,1969,1.0,0.0,0.0,0.0,0.0,,,,,
The Reivers,1969,2.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
In the Year of the Pig,1969,1.0,0.0,0.0,0.0,0.0,,,,,
Fellini Satyricon,1969,,,,,,1.0,0.0,0.0,0.0,0.0
The Prime of Miss Jean Brodie,1969,2.0,1.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0
Blake,1969,1.0,0.0,0.0,0.0,0.0,,,,,
The Olympics in Mexico,1969,1.0,0.0,0.0,0.0,0.0,,,,,
Generation,1969,,,,,,1.0,0.0,1.0,0.0,0.0
Girls in the Sun,1969,,,,,,1.0,0.0,0.0,0.0,0.0
Easy Rider,1969,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Before the Mountain Was Moved,1969,1.0,0.0,0.0,0.0,0.0,,,,,
If....,1969,,,,,,1.0,0.0,0.0,0.0,0.0
"If It's Tuesday, This Must Be Belgium",1969,,,,,,1.0,0.0,0.0,0.0,0.0
Anne of the Thousand Days,1969,10.0,1.0,4.0,0.0,0.0,7.0,4.0,5.0,3.0,1.0
The Wild Bunch,1969,2.0,0.0,0.0,0.0,0.0,,,,,
The Wolf Men,1969,1.0,0.0,0.0,0.0,0.0,,,,,
Butch Cassidy and the Sundance Kid,1969,7.0,4.0,2.0,0.0,0.0,,,,,
"Krakatoa, East of Java",1969,1.0,0.0,0.0,0.0,0.0,,,,,
Ådalen '31,1969,1.0,0.0,0.0,0.0,0.0,,,,,
John and Mary,1969,,,,,,3.0,0.0,2.0,0.0,0.0
Z,1969,5.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Midnight Cowboy,1969,6.0,3.0,4.0,2.0,1.0,5.0,0.0,4.0,0.0,0.0
My Night at Maud's,1969,1.0,0.0,0.0,0.0,0.0,,,,,
Mayerling,1969,,,,,,1.0,0.0,0.0,0.0,0.0
"Me, Natalie",1969,,,,,,1.0,1.0,1.0,1.0,0.0
Adalen 31,1969,,,,,,1.0,0.0,0.0,0.0,0.0
Czechoslovakia 1968,1969,1.0,1.0,0.0,0.0,0.0,,,,,
Marooned,1969,3.0,1.0,0.0,0.0,0.0,,,,,
Walking,1969,1.0,0.0,0.0,0.0,0.0,,,,,
Jenny Is a Good Thing,1969,1.0,0.0,0.0,0.0,0.0,,,,,
Butch Cassidy and The Sundance Kid,1969,,,,,,4.0,1.0,1.0,0.0,0.0
Arthur Rubinstein - The Love of Life,1969,1.0,1.0,0.0,0.0,0.0,,,,,
True Grit,1969,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0
