,film,year_film,Total oscars nominations,Total oscars won,Oscars best picture,G.G. nominations,G.G. won,G.G. best motion picture
870,Gloria,1980,1.0,0.0,0.0,1.0,0.0,0.0
871,Brubaker,1980,1.0,0.0,0.0,,,
872,A Jury of Her Peers,1980,1.0,0.0,0.0,,,
873,Private Benjamin,1980,3.0,0.0,0.0,1.0,0.0,0.0
874,Divine Madness,1980,,,,1.0,0.0,0.0
875,Star Wars: Episode V - The Empire Strikes Back,1980,,,,1.0,0.0,0.0
876,Breaker Morant,1980,1.0,0.0,0.0,,,
877,Hopscotch,1980,,,,1.0,0.0,0.0
878,All Nothing,1980,1.0,0.0,0.0,,,
879,Somewhere in Time,1980,1.0,0.0,0.0,1.0,0.0,0.0
880,The Great Santini,1980,2.0,0.0,0.0,,,
881,The Blue Lagoon,1980,1.0,0.0,0.0,,,
882,Altered States,1980,2.0,0.0,0.0,,,
883,Nine to Five (1980),1980,,,,2.0,0.0,0.0
884,Raging Bull,1980,8.0,2.0,0.0,6.0,1.0,0.0
885,The Idolmaker,1980,,,,2.0,1.0,0.0
886,Front Line,1980,1.0,0.0,0.0,,,
887,Inside Moves,1980,1.0,0.0,0.0,,,
888,Honeysuckle Rose,1980,1.0,0.0,0.0,,,
889,Agee,1980,1.0,0.0,0.0,,,
890,Karl Hess: Toward Liberty,1980,1.0,1.0,0.0,,,
891,The Dollar Bottom,1980,1.0,1.0,0.0,,,
892,Kagemusha (The Shadow Warrior),1980,2.0,0.0,0.0,,,
893,My Brilliant Career,1980,1.0,0.0,0.0,,,
894,Tess,1980,6.0,3.0,0.0,2.0,0.0,0.0
895,The Elephant Man,1980,8.0,0.0,0.0,4.0,0.0,0.0
896,Touched by Love,1980,,,,1.0,0.0,0.0
897,The Ninth Configuration,1980,,,,3.0,1.0,0.0
898,Nine to Five,1980,1.0,0.0,0.0,,,
899,The Empire Strikes Back,1980,4.0,2.0,0.0,,,
900,The Eruption of Mount St. Helens,1980,1.0,0.0,0.0,,,
901,"France, François Truffaut",1980,,,,1.0,0.0,0.0
902,The Last Metro,1980,1.0,0.0,0.0,,,
903,Fall Line,1980,1.0,0.0,0.0,,,
904,"Japan, Akira Kurosawa",1980,,,,1.0,0.0,0.0
905,Resurrection,1980,2.0,0.0,0.0,1.0,0.0,0.0
906,Mon Oncle D'Amerique,1980,1.0,0.0,0.0,,,
907,"Yugoslavia, Goran Paskaljevic",1980,,,,1.0,0.0,0.0
908,The Jazz Singer,1980,,,,3.0,0.0,0.0
909,Falling In Love Again,1980,,,,1.0,0.0,0.0
910,Don't Mess with Bill,1980,1.0,0.0,0.0,,,
911,From Mao to Mozart: Isaac Stern in China,1980,1.0,1.0,0.0,,,
912,Airplane!,1980,,,,1.0,0.0,0.0
913,The Competition,1980,2.0,0.0,0.0,1.0,0.0,0.0
914,The Yellow Star - The Persecution of the Jews in Europe 1933-45,1980,1.0,0.0,0.0,,,
915,Coal Miner's Daughter,1980,7.0,1.0,0.0,4.0,2.0,1.0
916,The Formula,1980,1.0,0.0,0.0,,,
917,The Fly,1980,1.0,1.0,0.0,,,
918,History of the World in Three Minutes Flat,1980,1.0,0.0,0.0,,,
919,Luther Metke at 94,1980,1.0,0.0,0.0,,,
920,The Day after Trinity,1980,1.0,0.0,0.0,,,
921,The Nest,1980,1.0,0.0,0.0,,,
922,Urban Cowboy,1980,,,,1.0,0.0,0.0
923,Moscow Does Not Believe in Tears,1980,1.0,1.0,0.0,,,
924,Fame,1980,5.0,1.0,0.0,4.0,1.0,0.0
925,The Four Seasons,1981,,,,4.0,0.0,0.0
926,Muddy River,1981,1.0,0.0,0.0,,,
927,Man of Iron,1981,1.0,0.0,0.0,,,
928,Pennies from Heaven,1981,3.0,0.0,0.0,3.0,1.0,0.0
929,Outland,1981,1.0,0.0,0.0,,,
930,Only When I Laugh,1981,3.0,0.0,0.0,2.0,0.0,0.0
931,"United Kingdom, Hugh Hudson",1981,,,,1.0,1.0,0.0
932,Prince of the City,1981,1.0,0.0,0.0,3.0,0.0,0.0
933,On Golden Pond,1981,10.0,3.0,0.0,6.0,3.0,1.0
934,Ragtime,1981,8.0,0.0,0.0,5.0,0.0,0.0
935,Raiders of the Lost Ark,1981,8.0,4.0,0.0,1.0,0.0,0.0
936,First Monday in October,1981,,,,2.0,0.0,0.0
937,Zoot Suit,1981,,,,1.0,0.0,0.0
938,Reds,1981,12.0,3.0,0.0,7.0,1.0,0.0
939,Journey for Survival,1981,1.0,0.0,0.0,,,
940,"Canada, Louis Malle",1981,,,,1.0,0.0,0.0
941,See What I Say,1981,1.0,0.0,0.0,,,
942,"West Germany, Wolfgang Petersen",1981,,,,1.0,0.0,0.0
943,Butterfly,1981,,,,2.0,0.0,0.0
944,Mephisto,1981,1.0,1.0,0.0,,,
945,"Brazil, Hector Babenco",1981,,,,1.0,0.0,0.0
946,Heaven's Gate,1981,1.0,0.0,0.0,,,
947,Heartbeeps,1981,1.0,0.0,0.0,,,
948,Continental Divide,1981,,,,1.0,0.0,0.0
949,Brooklyn Bridge,1981,1.0,0.0,0.0,,,
950,"Zorro, The Gay Blade",1981,,,,1.0,0.0,0.0
951,An American Werewolf in London,1981,1.0,1.0,0.0,,,
952,The Boat Is Full,1981,1.0,0.0,0.0,,,
953,The Great Muppet Caper,1981,1.0,0.0,0.0,,,
954,Urge to Build,1981,1.0,0.0,0.0,,,
955,Endless Love,1981,1.0,0.0,0.0,,,
956,S. O. B.,1981,,,,1.0,0.0,0.0
957,Absence of Malice,1981,3.0,0.0,0.0,2.0,0.0,0.0
958,Dragonslayer,1981,2.0,0.0,0.0,,,
959,Genocide,1981,1.0,1.0,0.0,,,
960,The Creation,1981,1.0,0.0,0.0,,,
961,The French Lieutenant's Woman,1981,5.0,0.0,0.0,3.0,1.0,0.0
962,First Winter,1981,1.0,0.0,0.0,,,
963,Arthur,1981,4.0,2.0,0.0,5.0,4.0,1.0
964,Taps,1981,,,,1.0,0.0,0.0
965,Raggedy Man,1981,,,,1.0,0.0,0.0
966,Violet,1981,1.0,1.0,0.0,,,
967,Americas in Transition,1981,1.0,0.0,0.0,,,
968,Couples and Robbers,1981,1.0,0.0,0.0,,,
969,For Your Eyes Only,1981,1.0,0.0,0.0,1.0,0.0,0.0
970,Crac,1981,1.0,1.0,0.0,,,
971,Chariots of Fire,1981,7.0,4.0,1.0,,,
972,Against Wind and Tide: A Cuban Odyssey,1981,1.0,0.0,0.0,,,
973,Atlantic City,1981,5.0,0.0,0.0,2.0,0.0,0.0
974,The Tender Tale of Cinderella Penguin,1981,1.0,0.0,0.0,,,
975,"Australia, Peter Weir",1981,,,,1.0,0.0,0.0
976,Three Brothers,1981,1.0,0.0,0.0,,,
977,El Salvador: Another Vietnam,1981,1.0,0.0,0.0,,,
978,Eight Minutes to Midnight: A Portrait of Dr. Helen Caldicott,1981,1.0,0.0,0.0,,,
979,Close Harmony,1981,1.0,1.0,0.0,,,
980,Excalibur,1981,1.0,0.0,0.0,,,
981,Victor/Victoria,1982,7.0,1.0,0.0,,,
982,Cat People,1982,,,,2.0,0.0,0.0
983,Rocky III,1982,1.0,0.0,0.0,1.0,0.0,0.0
984,The Snowman,1982,1.0,0.0,0.0,,,
985,Frances,1982,2.0,0.0,0.0,2.0,0.0,0.0
986,Tempest,1982,,,,1.0,0.0,0.0
987,"West Germany, Werner Herzog",1982,,,,1.0,0.0,0.0
988,A Portrait of Giselle,1982,1.0,0.0,0.0,,,
989,"Come Back To The Five and Dime, Jimmy Dean, Jimmy Dean",1982,,,,1.0,0.0,0.0
990,Missing,1982,4.0,1.0,0.0,5.0,0.0,0.0
991,The Silence,1982,1.0,0.0,0.0,,,
992,Kiss Me Goodbye,1982,,,,1.0,0.0,0.0
993,Ballet Robotique,1982,1.0,0.0,0.0,,,
994,Coup de Torchon ('Clean Slate'),1982,1.0,0.0,0.0,,,
995,"Switzerland, Serif Gören, Yilmaz Güney",1982,,,,1.0,0.0,0.0
996,One from the Heart,1982,1.0,0.0,0.0,,,
997,Blade Runner,1982,2.0,0.0,0.0,1.0,0.0,0.0
998,Six Weeks,1982,,,,1.0,0.0,0.0
999,"Italy, Franco Zeffirelli",1982,,,,1.0,0.0,0.0
1000,The Klan: A Legacy of Hate in America,1982,1.0,0.0,0.0,,,
1001,Shoot The Moon,1982,,,,2.0,0.0,0.0
1002,Alsino and the Condor,1982,1.0,0.0,0.0,,,
1003,E.T. The Extra-Terrestrial,1982,8.0,3.0,0.0,,,
1004,E. T. The Extra-Terrestrial,1982,,,,4.0,2.0,1.0
1005,Poltergeist,1982,3.0,0.0,0.0,,,
1006,An Officer and a Gentleman,1982,6.0,2.0,0.0,5.0,1.0,0.0
1007,Victor Victoria,1982,,,,5.0,1.0,0.0
1008,The Great Cognito,1982,1.0,0.0,0.0,,,
1009,Volver a Empezar ('To Begin Again'),1982,1.0,1.0,0.0,,,
1010,Private Life,1982,1.0,0.0,0.0,,,
1011,If You Love This Planet,1982,1.0,1.0,0.0,,,
1012,Quest for Fire,1982,1.0,1.0,0.0,,,
1013,"Yes, Giorgio",1982,1.0,0.0,0.0,1.0,0.0,0.0
1014,My Favorite Year,1982,1.0,0.0,0.0,3.0,0.0,0.0
1015,Diner,1982,1.0,0.0,0.0,1.0,0.0,0.0
1016,The Flight of the Eagle,1982,1.0,0.0,0.0,,,
1017,Just Another Missing Kid,1982,1.0,1.0,0.0,,,
1018,In Our Water,1982,1.0,0.0,0.0,,,
1019,"Canada, Jean-Jacques Annaud",1982,,,,1.0,0.0,0.0
1020,Making Love,1982,,,,1.0,0.0,0.0
1021,Night Shift,1982,,,,1.0,0.0,0.0
1022,Sredni Vashtar,1982,1.0,0.0,0.0,,,
1023,"Australia, George Miller",1982,,,,1.0,0.0,0.0
1024,The Best Little Whorehouse In Texas,1982,,,,2.0,0.0,0.0
1025,Best Friends,1982,1.0,0.0,0.0,1.0,0.0,0.0
1026,Gandhi,1982,11.0,8.0,1.0,3.0,3.0,0.0
1027,Gods of Metal,1982,1.0,0.0,0.0,,,
1028,Sophie's Choice,1982,5.0,1.0,0.0,2.0,1.0,0.0
1029,La Traviata,1982,2.0,0.0,0.0,,,
1030,Tex,1982,,,,1.0,0.0,0.0
1031,Split Cherry Tree,1982,1.0,0.0,0.0,,,
1032,Traveling Hopefully,1982,1.0,0.0,0.0,,,
1033,Tron,1982,2.0,0.0,0.0,,,
1034,Das Boot,1982,5.0,0.0,0.0,,,
1035,After the Axe,1982,1.0,0.0,0.0,,,
1036,Tootsie,1982,9.0,0.0,0.0,5.0,3.0,1.0
1037,Author! Author!,1982,,,,1.0,0.0,0.0
1038,Tango,1982,1.0,1.0,0.0,,,
1039,Annie,1982,2.0,0.0,0.0,1.0,0.0,0.0
1040,A Shocking Accident,1982,1.0,1.0,0.0,,,
1041,Ben's Mill,1982,1.0,0.0,0.0,,,
1042,The Best Little Whorehouse in Texas,1982,1.0,0.0,0.0,,,
1043,To Live or Let Die,1982,1.0,0.0,0.0,,,
1044,"India, Richard Attenborough",1982,,,,1.0,1.0,0.0
1045,The World According to Garp,1982,2.0,0.0,0.0,,,
1046,The Verdict,1982,5.0,0.0,0.0,5.0,0.0,0.0
1047,Star 80,1983,,,,1.0,0.0,0.0
1048,You Are Free  (Ihr Zent Frei),1983,1.0,0.0,0.0,,,
1049,Fanny & Alexander,1983,6.0,4.0,0.0,1.0,0.0,0.0
1050,Gorky Park,1983,,,,1.0,0.0,0.0
1051,Yentl,1983,4.0,1.0,0.0,6.0,2.0,1.0
1052,Staying Alive,1983,,,,1.0,0.0,0.0
1053,Spaces: The Architecture of Paul Rudolph,1983,1.0,0.0,0.0,,,
1054,The Year of Living Dangerously,1983,1.0,1.0,0.0,1.0,0.0,0.0
1055,Never Cry Wolf,1983,1.0,0.0,0.0,,,
1056,In the Nuclear Shadow: What Can the Children Tell Us?,1983,1.0,0.0,0.0,,,
1057,Trading Places,1983,1.0,0.0,0.0,2.0,0.0,0.0
1058,To Be or Not to Be,1983,1.0,0.0,0.0,2.0,0.0,0.0
1059,Overnight Sensation,1983,1.0,0.0,0.0,,,
1060,Entre Nous,1983,1.0,0.0,0.0,,,
1061,Sundae in New York,1983,1.0,1.0,0.0,,,
1062,Children of Darkness,1983,1.0,0.0,0.0,,,
1063,Le Bal,1983,1.0,0.0,0.0,,,
1064,"United Kingdom, Lewis Gilbert",1983,,,,1.0,0.0,0.0
1065,"United Kingdom, Peter Yates",1983,,,,1.0,0.0,0.0
1066,Job's Revolt,1983,1.0,0.0,0.0,,,
1067,Educating Rita,1983,3.0,0.0,0.0,3.0,2.0,0.0
1068,Terms of Endearment,1983,9.0,4.0,1.0,5.0,3.0,1.0
1069,Scarface,1983,,,,3.0,0.0,0.0
1070,WarGames,1983,3.0,0.0,0.0,,,
1071,Blue Thunder,1983,1.0,0.0,0.0,,,
1072,Goodie-Two-Shoes,1983,1.0,0.0,0.0,,,
1073,Testament,1983,1.0,0.0,0.0,1.0,0.0,0.0
1074,"Spain, Carlos Saura",1983,,,,1.0,0.0,0.0
1075,Cross Creek,1983,4.0,0.0,0.0,,,
1076,Tender Mercies,1983,5.0,2.0,0.0,5.0,1.0,0.0
1077,Rumble Fish,1983,,,,1.0,0.0,0.0
1078,Never Say Never Again,1983,,,,1.0,0.0,0.0
1079,The Profession of Arms,1983,1.0,0.0,0.0,,,
1080,"Canada, Lewis Gilbert",1983,,,,1.0,0.0,0.0
1081,Flashdance,1983,3.0,0.0,0.0,4.0,1.0,0.0
1082,Silkwood,1983,5.0,0.0,0.0,5.0,1.0,0.0
1083,Betrayal,1983,1.0,0.0,0.0,,,
1084,Flamenco at 5:15,1983,1.0,1.0,0.0,,,
1085,The Pirates of Penzance,1983,,,,1.0,0.0,0.0
1086,The Right Stuff,1983,7.0,3.0,0.0,1.0,0.0,0.0
1087,Boys and Girls,1983,1.0,1.0,0.0,,,
1088,The Grey Fox,1983,,,,1.0,0.0,0.0
1089,First Contact,1983,1.0,0.0,0.0,,,
1090,The Dresser,1983,4.0,0.0,0.0,3.0,0.0,0.0
1091,Zelig,1983,2.0,0.0,0.0,2.0,0.0,0.0
1092,Seeing Red,1983,1.0,0.0,0.0,,,
1093,Heart Like a Wheel,1983,1.0,0.0,0.0,1.0,0.0,0.0
1094,Mickey's Christmas Carol,1983,1.0,0.0,0.0,,,
1095,Return of the Jedi,1983,4.0,1.0,0.0,,,
1096,The Return of Martin Guerre,1983,1.0,0.0,0.0,,,
1097,He Makes Me Feel Like Dancin',1983,1.0,1.0,0.0,,,
1098,The Sting II,1983,1.0,0.0,0.0,,,
1099,Sewing Woman,1983,1.0,0.0,0.0,,,
1100,The Big Chill,1983,3.0,0.0,0.0,2.0,0.0,0.0
1101,Risky Business,1983,,,,1.0,0.0,0.0
1102,Under Fire,1983,1.0,0.0,0.0,2.0,0.0,0.0
1103,"Reuben, Reuben",1983,2.0,0.0,0.0,3.0,0.0,0.0
1104,Sound of Sunshine - Sound of Rain,1983,1.0,0.0,0.0,,,
1105,Carmen,1983,1.0,0.0,0.0,,,
1106,"Sweden, Ingmar Bergman",1983,,,,1.0,1.0,0.0
1107,Marlene,1984,1.0,0.0,0.0,,,
1108,Once Upon a Time in America,1984,,,,2.0,0.0,0.0
1109,Dangerous Moves,1984,1.0,1.0,0.0,,,
1110,The Times of Harvey Milk,1984,1.0,1.0,0.0,,,
1111,El Norte,1984,1.0,0.0,0.0,,,
1112,Micki & Maude,1984,,,,2.0,1.0,0.0
1113,Garbo Talks,1984,,,,1.0,0.0,0.0
1114,2010,1984,5.0,0.0,0.0,,,
1115,Country,1984,1.0,0.0,0.0,1.0,0.0,0.0
1116,The Stone Carvers,1984,1.0,1.0,0.0,,,
1117,Moscow on the Hudson,1984,,,,1.0,0.0,0.0
1118,Beverly Hills Cop,1984,1.0,0.0,0.0,2.0,0.0,0.0
1119,Beyond the Walls,1984,1.0,0.0,0.0,,,
1120,Code Gray: Ethical Dilemmas in Nursing,1984,1.0,0.0,0.0,,,
1121,"River, The (1984)",1984,,,,1.0,0.0,0.0
1122,The Pope of Greenwich Village,1984,1.0,0.0,0.0,,,
1123,"France, Francesco Rosi",1984,,,,1.0,0.0,0.0
1124,The Woman in Red,1984,1.0,1.0,0.0,1.0,1.0,0.0
1125,"France, Wim Wenders",1984,,,,1.0,0.0,0.0
1126,Double Feature,1984,1.0,0.0,0.0,,,
1127,The Painted Door,1984,1.0,0.0,0.0,,,
1128,The Muppets Take Manhattan,1984,1.0,0.0,0.0,,,
1129,Mrs. Soffel,1984,,,,1.0,0.0,0.0
1130,Give My Regards To Broad Street,1984,,,,1.0,0.0,0.0
1131,"France, Bertrand Tavernier",1984,,,,1.0,0.0,0.0
1132,Doctor De Soto,1984,1.0,0.0,0.0,,,
1133,Up,1984,1.0,1.0,0.0,,,
1134,Dune,1984,1.0,0.0,0.0,,,
1135,Wartime Romance,1984,1.0,0.0,0.0,,,
1136,Irreconcilable Differences,1984,,,,2.0,0.0,0.0
1137,The Natural,1984,4.0,0.0,0.0,1.0,0.0,0.0
1138,The River,1984,4.0,0.0,0.0,1.0,0.0,0.0
1139,Under the Volcano,1984,2.0,0.0,0.0,,,
1140,Swing Shift,1984,1.0,0.0,0.0,1.0,0.0,0.0
1141,Camila,1984,1.0,0.0,0.0,,,
1142,The Garden of Eden,1984,1.0,0.0,0.0,,,
1143,Splash,1984,1.0,0.0,0.0,1.0,0.0,0.0
1144,"Switzerland, Richard Dembo",1984,,,,1.0,0.0,0.0
1145,Places in the Heart,1984,7.0,2.0,0.0,3.0,1.0,0.0
1146,John Carpenter's Starman,1984,,,,2.0,0.0,0.0
1147,High Schools,1984,1.0,0.0,0.0,,,
1148,In the Name of the People,1984,1.0,0.0,0.0,,,
1149,Body Double,1984,,,,1.0,0.0,0.0
1150,Songwriter,1984,1.0,0.0,0.0,1.0,0.0,0.0
1151,Recollections of Pavlovsk,1984,1.0,0.0,0.0,,,
1152,The Bostonians,1984,2.0,0.0,0.0,1.0,0.0,0.0
1153,All of Me,1984,,,,2.0,0.0,0.0
1154,The Cotton Club,1984,2.0,0.0,0.0,2.0,0.0,0.0
1155,The Children of Soong Ching Ling,1984,1.0,0.0,0.0,,,
1156,Purple Rain,1984,1.0,1.0,0.0,,,
1157,Against All Odds,1984,1.0,0.0,0.0,1.0,0.0,0.0
1158,Ghostbusters,1984,2.0,0.0,0.0,3.0,0.0,0.0
1159,Starman,1984,1.0,0.0,0.0,,,
1160,Indiana Jones and the Temple of Doom,1984,2.0,1.0,0.0,,,
1161,The Killing Fields,1984,7.0,3.0,0.0,6.0,1.0,0.0
1162,"Greystoke: The Legend of Tarzan, Lord of the Apes",1984,3.0,0.0,0.0,,,
1163,Amadeus,1984,10.0,7.0,1.0,5.0,3.0,1.0
1164,Under The Volcano,1984,,,,2.0,0.0,0.0
1165,A Soldier's Story,1984,3.0,0.0,0.0,3.0,0.0,0.0
1166,The Flamingo Kid,1984,,,,1.0,0.0,0.0
1167,The Karate Kid,1984,1.0,0.0,0.0,1.0,0.0,0.0
1168,A Passage to India,1984,11.0,2.0,0.0,4.0,2.0,0.0
1169,Paradise,1984,1.0,0.0,0.0,,,
1170,Broadway Danny Rose,1984,2.0,0.0,0.0,1.0,0.0,0.0
1171,Romancing the Stone,1984,1.0,0.0,0.0,2.0,2.0,1.0
1172,Footloose,1984,1.0,0.0,0.0,1.0,0.0,0.0
1173,"United Kingdom, David Lean",1984,,,,1.0,1.0,0.0
1174,Streetwise,1984,1.0,0.0,0.0,,,
1175,Charade,1984,1.0,1.0,0.0,,,
1176,Tales of Meeting and Parting,1984,1.0,0.0,0.0,,,
1177,The Courage to Care,1985,1.0,0.0,0.0,,,
1178,Cocoon,1985,2.0,2.0,0.0,1.0,0.0,0.0
1179,"Japan, Akira Kurosawa",1985,,,,1.0,0.0,0.0
1180,Agnes of God,1985,3.0,0.0,0.0,2.0,1.0,0.0
1181,Anna & Bella,1985,1.0,1.0,0.0,,,
1182,Second Class Mail,1985,1.0,0.0,0.0,,,
1183,The Statue of Liberty,1985,1.0,0.0,0.0,,,
1184,A View to a Kill,1985,,,,1.0,0.0,0.0
1185,Molly's Pilgrim,1985,1.0,1.0,0.0,,,
1186,A Chorus Line: The Movie,1985,,,,2.0,0.0,0.0
1187,Kiss of the Spider Woman,1985,4.0,1.0,0.0,3.0,0.0,0.0
1188,Unfinished Business,1985,1.0,0.0,0.0,,,
1189,After Hours,1985,,,,1.0,0.0,0.0
1190,Brazil,1985,2.0,0.0,0.0,,,
1191,The Color Purple,1985,10.0,0.0,0.0,5.0,1.0,0.0
1192,"Hungary, István Szabó",1985,,,,1.0,0.0,0.0
1193,Sweet Dreams,1985,1.0,0.0,0.0,,,
1194,Graffiti,1985,1.0,0.0,0.0,,,
1195,"Yugoslavia, Emir Kusturica",1985,,,,1.0,0.0,0.0
1196,Three Men and a Cradle,1985,1.0,0.0,0.0,,,
1197,Back To The Future,1985,,,,4.0,0.0,0.0
1198,Berry Gordy's The Last Dragon,1985,,,,1.0,0.0,0.0
1199,Las Madres--The Mothers of Plaza de Mayo,1985,1.0,0.0,0.0,,,
1200,Year of the Dragon,1985,,,,2.0,0.0,0.0
1201,"Argentina, Luis Puenzo",1985,,,,1.0,1.0,0.0
1202,Ladyhawke,1985,1.0,0.0,0.0,,,
1203,The Big Snit,1985,1.0,0.0,0.0,,,
1204,Making Overtures--The Story of a Community Orchestra,1985,1.0,0.0,0.0,,,
1205,The Wizard of the Strings,1985,1.0,0.0,0.0,,,
1206,"Poland, Krzysztof Zanussi",1985,,,,1.0,0.0,0.0
1207,Colonel Redl,1985,1.0,0.0,0.0,,,
1208,Soldiers in Hiding,1985,1.0,0.0,0.0,,,
1209,Twice in a Lifetime,1985,1.0,0.0,0.0,2.0,0.0,0.0
1210,The Trip to Bountiful,1985,2.0,1.0,0.0,,,
1211,Back to the Future,1985,3.0,0.0,0.0,,,
1212,Silverado,1985,2.0,0.0,0.0,,,
1213,Mask,1985,1.0,1.0,0.0,2.0,0.0,0.0
1214,Angry Harvest,1985,1.0,0.0,0.0,,,
1215,Maxie,1985,,,,1.0,0.0,0.0
1216,Mad Max Beyond Thunderdome,1985,,,,1.0,0.0,0.0
1217,Witness,1985,8.0,2.0,0.0,6.0,0.0,0.0
1218,Witness to War: Dr. Charlie Clements,1985,1.0,1.0,0.0,,,
1219,Prizzi's Honor,1985,8.0,1.0,0.0,6.0,4.0,1.0
1220,Broken Rainbow,1985,1.0,1.0,0.0,,,
1221,Jagged Edge,1985,1.0,0.0,0.0,,,
1222,When Father Was Away on Business,1985,1.0,0.0,0.0,,,
1223,Rainbow War,1985,1.0,0.0,0.0,,,
1224,The Trip To Bountiful,1985,,,,1.0,0.0,0.0
1225,The Purple Rose of Cairo,1985,1.0,0.0,0.0,4.0,1.0,0.0
1226,Ran,1985,4.0,1.0,0.0,,,
1227,The Journey of Natty Gann,1985,1.0,0.0,0.0,,,
1228,Desperately Seeking Susan,1985,,,,1.0,0.0,0.0
1229,Rambo: First Blood Part II,1985,1.0,0.0,0.0,,,
1230,A Chorus Line,1985,3.0,0.0,0.0,,,
1231,Keats and His Nightingale: A Blind Date,1985,1.0,0.0,0.0,,,
1232,Runaway Train,1985,3.0,0.0,0.0,3.0,1.0,0.0
1233,Return to Oz,1985,1.0,0.0,0.0,,,
1234,Murphy's Romance,1985,2.0,0.0,0.0,2.0,0.0,0.0
1235,Out of Africa,1985,11.0,7.0,1.0,6.0,3.0,1.0
1236,The Official Story,1985,2.0,1.0,0.0,,,
1237,Remo Williams: The Adventure Begins,1985,1.0,0.0,0.0,1.0,0.0,0.0
1238,Young Sherlock Holmes,1985,1.0,0.0,0.0,,,
1239,White Nights,1985,1.0,0.0,0.0,2.0,1.0,0.0
1240,Peggy Sue Got Married,1986,3.0,0.0,0.0,2.0,0.0,0.0
1241,Witness to Apartheid,1986,1.0,0.0,0.0,,,
1242,The Assault,1986,1.0,1.0,0.0,,,
1243,Ferris Bueller's Day Off,1986,,,,1.0,0.0,0.0
1244,Stand by Me,1986,1.0,0.0,0.0,,,
1245,Something Wild,1986,,,,3.0,0.0,0.0
1246,Tough Guys,1986,,,,1.0,0.0,0.0
1247,Luxo Jr.,1986,1.0,0.0,0.0,,,
1248,"Italy, Federico Fellini",1986,,,,1.0,0.0,0.0
1249,Star Trek IV: The Voyage Home,1986,3.0,0.0,0.0,,,
1250,Top Gun,1986,3.0,1.0,0.0,2.0,1.0,0.0
1251,Extremities,1986,,,,1.0,0.0,0.0
1252,The Morning After,1986,1.0,0.0,0.0,,,
1253,Love Struck,1986,1.0,0.0,0.0,,,
1254,The Mission,1986,7.0,1.0,0.0,5.0,2.0,0.0
1255,The Masters of Disaster,1986,1.0,0.0,0.0,,,
1256,The Karate Kid Part II,1986,1.0,0.0,0.0,1.0,0.0,0.0
1257,That's Life,1986,1.0,0.0,0.0,,,
1258,Little Shop of Horrors,1986,2.0,0.0,0.0,2.0,0.0,0.0
1259,Sam,1986,1.0,0.0,0.0,,,
1260,Platoon,1986,7.0,4.0,1.0,4.0,3.0,1.0
1261,Salvador,1986,2.0,0.0,0.0,,,
1262,Mona Lisa,1986,1.0,0.0,0.0,4.0,1.0,0.0
1263,"'night, Mother",1986,,,,1.0,0.0,0.0
1264,My Beautiful Laundrette,1986,1.0,0.0,0.0,,,
1265,The Decline of the American Empire,1986,1.0,0.0,0.0,,,
1266,Crocodile Dundee,1986,,,,3.0,1.0,0.0
1267,The Mosquito Coast,1986,,,,2.0,0.0,0.0
1268,Red Grooms: Sunflower in a Hothouse,1986,1.0,0.0,0.0,,,
1269,The Fly,1986,1.0,1.0,0.0,,,
1270,"France, Jean-Jacques Beineix",1986,,,,1.0,0.0,0.0
1271,My Sweet Little Village,1986,1.0,0.0,0.0,,,
1272,"The Frog, the Dog and the Devil",1986,1.0,0.0,0.0,,,
1273,Pirates,1986,1.0,0.0,0.0,,,
1274,The Color of Money,1986,4.0,1.0,0.0,2.0,0.0,0.0
1275,Ruthless People,1986,,,,1.0,0.0,0.0
1276,The Clan of the Cave Bear,1986,1.0,0.0,0.0,,,
1277,"Women--for America, for the World",1986,1.0,1.0,0.0,,,
1278,Down and Out In Beverly Hills,1986,,,,2.0,0.0,0.0
1279,"France, Coline Serreau",1986,,,,1.0,0.0,0.0
1280,"Italy, Franco Zeffirelli",1986,,,,1.0,0.0,0.0
1281,"Netherlands, Fons Rademakers",1986,,,,1.0,1.0,0.0
1282,That's Life!,1986,,,,3.0,0.0,0.0
1283,Otello,1986,1.0,0.0,0.0,,,
1284,Stand By Me,1986,,,,2.0,0.0,0.0
1285,Duet for One,1986,,,,1.0,0.0,0.0
1286,Poltergeist II: The Other Side,1986,1.0,0.0,0.0,,,
1287,Running Scared,1986,,,,1.0,0.0,0.0
1288,Precious Images,1986,1.0,1.0,0.0,,,
1289,'38',1986,1.0,0.0,0.0,,,
1290,Exit,1986,1.0,0.0,0.0,,,
1291,Artie Shaw: Time Is All You've Got,1986,1.0,1.0,0.0,,,
1292,Betty Blue,1986,1.0,0.0,0.0,,,
1293,Debonair Dancers,1986,1.0,0.0,0.0,,,
1294,Hoosiers,1986,2.0,0.0,0.0,1.0,0.0,0.0
1295,Aliens,1986,6.0,1.0,0.0,1.0,0.0,0.0
1296,Chile: Hasta Cuando?,1986,1.0,0.0,0.0,,,
1297,Blue Velvet,1986,1.0,0.0,0.0,2.0,0.0,0.0
1298,A Room with a View,1986,8.0,3.0,0.0,3.0,1.0,0.0
1299,Crimes of the Heart,1986,3.0,0.0,0.0,2.0,1.0,0.0
1300,Children of a Lesser God,1986,5.0,1.0,0.0,3.0,1.0,0.0
1301,Legend,1986,1.0,0.0,0.0,,,
1302,Heartbreak Ridge,1986,1.0,0.0,0.0,,,
