,film,year_film,Total oscars nominations,Total oscars won,Oscars best picture,G.G. nominations,G.G. won,G.G. best motion picture
193,Jack Johnson,1970,1.0,0.0,0.0,,,
194,Oisin,1970,1.0,0.0,0.0,,,
195,Shut Up...I'm Crying,1970,1.0,0.0,0.0,,,
196,A Boy Named Charlie Brown,1970,1.0,0.0,0.0,,,
197,Tristana,1970,1.0,0.0,0.0,,,
198,Tora! Tora! Tora!,1970,5.0,1.0,0.0,,,
199,Fellini Satyricon,1970,1.0,0.0,0.0,,,
200,Airport,1970,9.0,0.0,0.0,4.0,1.0,0.0
201,Joe,1970,1.0,0.0,0.0,,,
202,Little Fauss and Big Halsey,1970,,,,1.0,0.0,0.0
203,Time Is Running Out,1970,1.0,0.0,0.0,,,
204,Husbands,1970,,,,1.0,0.0,0.0
205,The Customer of the Off Season,1970,,,,1.0,0.0,0.0
206,Little Big Man,1970,1.0,0.0,0.0,1.0,0.0,0.0
207,Investigation of a Citizen Above Suspicion,1970,,,,1.0,0.0,0.0
208,Love Story,1970,7.0,1.0,0.0,7.0,5.0,1.0
209,The Confession,1970,,,,1.0,0.0,0.0
210,Sunflower,1970,1.0,0.0,0.0,,,
211,Lovers and Other Strangers,1970,3.0,1.0,0.0,1.0,0.0,0.0
212,The Baby Maker,1970,1.0,0.0,0.0,,,
213,M*A*S*H,1970,5.0,1.0,0.0,5.0,1.0,1.0
214,Madron,1970,1.0,0.0,0.0,1.0,0.0,0.0
215,Wuthering Heights,1970,,,,1.0,0.0,0.0
216,Borsalino,1970,,,,1.0,0.0,0.0
217,Bloomfield,1970,,,,1.0,0.0,0.0
218,Women In Love,1970,,,,3.0,1.0,0.0
219,Act of the Heart,1970,,,,1.0,0.0,0.0
220,Sticky My Fingers...Fleet My Feet,1970,1.0,0.0,0.0,,,
221,Woodstock,1970,3.0,1.0,0.0,,,
222,Is It Always Right to Be Right?,1970,1.0,1.0,0.0,,,
223,Five Easy Pieces,1970,4.0,0.0,0.0,5.0,1.0,0.0
224,The Further Adventures of Uncle Sam: Part Two,1970,1.0,0.0,0.0,,,
225,Say Goodbye,1970,1.0,0.0,0.0,,,
226,The Shepherd,1970,1.0,0.0,0.0,,,
227,Promise at Dawn,1970,,,,1.0,0.0,0.0
228,The Hawaiians,1970,1.0,0.0,0.0,1.0,0.0,0.0
229,Cromwell,1970,2.0,1.0,0.0,1.0,0.0,0.0
230,Puzzle of a Downfall Child,1970,,,,1.0,0.0,0.0
231,Pieces of Dreams,1970,1.0,0.0,0.0,1.0,0.0,0.0
232,The Resurrection of Broncho Billy,1970,1.0,1.0,0.0,,,
233,Patton,1970,10.0,7.0,1.0,3.0,1.0,0.0
234,Rider on the Rain,1970,,,,1.0,1.0,0.0
235,Something for Everyone,1970,,,,1.0,0.0,0.0
236,The Walking Major,1970,,,,1.0,0.0,0.0
237,The Virgin and the Gypsy,1970,,,,1.0,0.0,0.0
238,The Out-of-Towners,1970,,,,2.0,0.0,0.0
239,The Owl and The Pussycat,1970,,,,1.0,0.0,0.0
240,The Landlord,1970,1.0,0.0,0.0,1.0,0.0,0.0
241,A Long Way from Nowhere,1970,1.0,0.0,0.0,,,
242,The Molly Maguires,1970,1.0,0.0,0.0,,,
243,Ryan's Daughter,1970,4.0,2.0,0.0,2.0,0.0,0.0
