year_film,year_ceremony,category,name,film,winner
2000,2001,Actress in a supporting role,Frances McDormand,Almost Famous,False
2000,2001,Actress in a supporting role,Julie Walters,Billy Elliot,False
2000,2001,Production design,Tim Yip,"Crouching Tiger, Hidden Dragon",True
2000,2001,Production design,Art Direction:  Michael Corenblith;  Set Decoration:  Merideth Boswell,Dr. Seuss' How the Grinch Stole Christmas,False
2000,2001,Production design,Art Direction:  Arthur Max;  Set Decoration:  Crispian Sallis,Gladiator,False
2000,2001,Production design,Art Direction:  Martin Childs;  Set Decoration:  Jill Quertier,Quills,False
2000,2001,Production design,Art Direction:  Jean Rabasse;  Set Decoration:  Françoise Benoît-Fresco,Vatel,False
2000,2001,Cinematography,Peter Pau,"Crouching Tiger, Hidden Dragon",True
2000,2001,Cinematography,John Mathieson,Gladiator,False
2000,2001,Cinematography,Lajos Koltai,Malèna,False
2000,2001,Cinematography,Roger Deakins,"O Brother, Where Art Thou?",False
2000,2001,Cinematography,Caleb Deschanel,The Patriot,False
2000,2001,Costume design,Tim Yip,"Crouching Tiger, Hidden Dragon",False
2000,2001,Costume design,Rita Ryack,Dr. Seuss' How the Grinch Stole Christmas,False
2000,2001,Costume design,Janty Yates,Gladiator,True
2000,2001,Costume design,Anthony Powell,102 Dalmatians,False
2000,2001,Costume design,Jacqueline West,Quills,False
2000,2001,Director,Stephen Daldry,Billy Elliot,False
2000,2001,Director,Ang Lee,"Crouching Tiger, Hidden Dragon",False
2000,2001,Director,Steven Soderbergh,Erin Brockovich,False
2000,2001,Director,Ridley Scott,Gladiator,False
2000,2001,Director,Steven Soderbergh,Traffic,True
2000,2001,Documentary feature,"Mark Jonathan Harris, Deborah Oppenheimer",Into the Arms of Strangers: Stories of the Kindertransport,True
2000,2001,Documentary feature,Tod Lending,Legacy,False
2000,2001,Documentary feature,"Frances Reid, Deborah Hoffmann",Long Night's Journey into Day,False
2000,2001,Documentary feature,"Barak Goodman, Daniel Anker",Scottsboro: An American Tragedy,False
2000,2001,Documentary feature,"Josh Aronson, Roger Weisberg",Sound and Fury,False
2000,2001,Documentary short film,Tracy Seretean,Big Mama,True
2000,2001,Documentary short film,"Chuck Braverman, Steve Kalafer",Curtain Call,False
2000,2001,Documentary short film,"Greg MacGillivray, Alec Lorimore",Dolphins,False
2000,2001,Documentary short film,Daniel Raim,The Man on Lincoln's Nose,False
2000,2001,Documentary short film,"Eric Simonson, Leelai Demoz",On Tiptoe: Gentle Steps to Freedom,False
2000,2001,Film editing,"Joe Hutshing, Saar Klein",Almost Famous,False
2000,2001,Film editing,Tim Squyres,"Crouching Tiger, Hidden Dragon",False
2000,2001,Film editing,Pietro Scalia,Gladiator,False
2000,2001,Film editing,Stephen Mirrione,Traffic,True
2000,2001,Film editing,Dede Allen,Wonder Boys,False
2000,2001,International feature film,Mexico,Amores Perros,False
2000,2001,International feature film,Taiwan,"Crouching Tiger, Hidden Dragon",True
2000,2001,International feature film,Czech Republic,Divided We Fall,False
2000,2001,International feature film,Belgium,Everybody Famous!,False
2000,2001,International feature film,France,The Taste of Others,False
2000,2001,Makeup and hairstyling,"Michèle Burke, Edouard Henriques",The Cell,False
2000,2001,Makeup and hairstyling,"Rick Baker, Gail Ryan",Dr. Seuss' How the Grinch Stole Christmas,True
2000,2001,Makeup and hairstyling,"Ann Buchanan, Amber Sibley",Shadow of the Vampire,False
2000,2001,Original score,Rachel Portman,Chocolat,False
2000,2001,Original score,Tan Dun,"Crouching Tiger, Hidden Dragon",True
2000,2001,Original score,Hans Zimmer,Gladiator,False
2000,2001,Original score,Ennio Morricone,Malèna,False
2000,2001,Original score,John Williams,The Patriot,False
2000,2001,Original song,Music and Lyric by Randy Newman,Meet the Parents,False
2000,2001,Original song,Music by Björk; Lyric by Lars von Trier and Sjon Sigurdsson,Dancer in the Dark,False
2000,2001,Original song,Music by Jorge Calandrelli and Tan Dun; Lyric by James Schamus,"Crouching Tiger, Hidden Dragon",False
2000,2001,Original song,Music by Sting and David Hartley; Lyric by Sting,The Emperor's New Groove,False
2000,2001,Original song,Music and Lyric by Bob Dylan,Wonder Boys,True
2000,2001,Best picture,"David Brown, Kit Golden and Leslie Holleran, Producers",Chocolat,False
2000,2001,Best picture,"Bill Kong, Hsu Li Kong and Ang Lee, Producers","Crouching Tiger, Hidden Dragon",False
2000,2001,Best picture,"Danny DeVito, Michael Shamberg and Stacey Sher, Producers",Erin Brockovich,False
2000,2001,Best picture,"Douglas Wick, David Franzoni and Branko Lustig, Producers",Gladiator,True
2000,2001,Best picture,"Edward Zwick, Marshall Herskovitz and Laura Bickford, Producers",Traffic,False
2000,2001,Short film animated,Michael Dudok de Wit,Father and Daughter,True
2000,2001,Short film animated,"Steffen Schäffler, Annette Schäffler",The Periwig-Maker,False
2000,2001,Short film animated,Don Hertzfeldt,Rejected,False
2000,2001,Short film live action,"Peter Riegert, Ericka Frederick",By Courier,False
2000,2001,Short film live action,"Joan Stein, Christina Lazaridi",One Day Crossing,False
2000,2001,Short film live action,Florian Gallenberger,Quiero Ser (I want to be...),True
2000,2001,Short film live action,"Gail Lerner, Colin Campbell",Seraglio,False
2000,2001,Short film live action,Paulo Machline,A Soccer Story (Uma Historia de Futebol),False
2000,2001,Sound effects,"Randy Thom, Tom Johnson, Dennis Sands, William B. Kaplan",Cast Away,False
2000,2001,Sound effects,"Scott Millan, Bob Beemer, Ken Weston",Gladiator,True
2000,2001,Sound effects,"Kevin O'Connell, Greg P. Russell, Lee Orloff",The Patriot,False
2000,2001,Sound effects,"John Reitz, Gregg Rudloff, David Campbell, Keith A. Wester",The Perfect Storm,False
2000,2001,Sound effects,"Steve Maslow, Gregg Landaker, Rick Kline, Ivan Sharrock",U-571,False
2000,2001,Sound effects,"Alan Robert Murray, Bub Asman",Space Cowboys,False
2000,2001,Sound effects,Jon Johnson,U-571,True
2000,2001,Visual effects,"John Nelson, Neil Corbould, Tim Burke, Rob Harvey",Gladiator,True
2000,2001,Visual effects,"Scott E. Anderson, Craig Hayes, Scott Stokdyk, Stan Parks",Hollow Man,False
2000,2001,Visual effects,"Stefen Fangmeier, Habib Zargarpour, John Frazier, Walt Conti",The Perfect Storm,False
2000,2001,Adapted screenplay,Screenplay by Robert Nelson Jacobs,Chocolat,False
2000,2001,Adapted screenplay,Written by Wang Hui Ling and James Schamus and Tsai Kuo Jung,"Crouching Tiger, Hidden Dragon",False
2000,2001,Adapted screenplay,Written by Ethan Coen & Joel Coen,"O Brother, Where Art Thou?",False
2000,2001,Adapted screenplay,Screenplay by Stephen Gaghan,Traffic,True
2000,2001,Adapted screenplay,Screenplay by Steve Kloves,Wonder Boys,False
2000,2001,Adapted screenplay,Written by Cameron Crowe,Almost Famous,True
2000,2001,Adapted screenplay,Written by Lee Hall,Billy Elliot,False
2000,2001,Adapted screenplay,Written by Susannah Grant,Erin Brockovich,False
2000,2001,Adapted screenplay,Screenplay by David Franzoni and John Logan and William Nicholson;  Story by David Franzoni,Gladiator,False
2000,2001,Adapted screenplay,Written by Kenneth Lonergan,You Can Count on Me,False
2001,2002,Actor in a leading role,Russell Crowe,A Beautiful Mind,False
2001,2002,Actor in a leading role,Sean Penn,I Am Sam,False
2001,2002,Actor in a leading role,Will Smith,Ali,False
2001,2002,Actor in a leading role,Denzel Washington,Training Day,True
2001,2002,Actor in a leading role,Tom Wilkinson,In the Bedroom,False
2001,2002,Actor in a supporting role,Jim Broadbent,Iris,True
2001,2002,Actor in a supporting role,Ethan Hawke,Training Day,False
2001,2002,Actor in a supporting role,Ben Kingsley,Sexy Beast,False
2001,2002,Actor in a supporting role,Ian McKellen,The Lord of the Rings: The Fellowship of the Ring,False
2001,2002,Actor in a supporting role,Jon Voight,Ali,False
2001,2002,Actress in a leading role,Halle Berry,Monster's Ball,True
2001,2002,Actress in a leading role,Judi Dench,Iris,False
2001,2002,Actress in a leading role,Nicole Kidman,Moulin Rouge,False
2001,2002,Actress in a leading role,Sissy Spacek,In the Bedroom,False
2001,2002,Actress in a leading role,Renée Zellweger,Bridget Jones's Diary,False
2001,2002,Actress in a supporting role,Jennifer Connelly,A Beautiful Mind,True
2001,2002,Actress in a supporting role,Helen Mirren,Gosford Park,False
2001,2002,Actress in a supporting role,Maggie Smith,Gosford Park,False
2001,2002,Actress in a supporting role,Marisa Tomei,In the Bedroom,False
2001,2002,Actress in a supporting role,Kate Winslet,Iris,False
2001,2002,Animated feature film,"Steve Oedekerk, John A. Davis",Jimmy Neutron: Boy Genius,False
2001,2002,Animated feature film,"Pete Docter, John Lasseter","Monsters, Inc.",False
2001,2002,Animated feature film,Aron Warner,Shrek,True
2001,2002,Production design,Art Direction:  Aline Bonetto; Set Decoration:  Marie-Laure Valla,Amélie,False
2001,2002,Production design,Art Direction:  Stephen Altman; Set Decoration:  Anna Pinnock,Gosford Park,False
2001,2002,Production design,Art Direction:  Stuart Craig; Set Decoration:  Stephenie McMillan,Harry Potter and the Sorcerer's Stone,False
2001,2002,Production design,Art Direction:  Grant Major; Set Decoration:  Dan Hennah,The Lord of the Rings: The Fellowship of the Ring,False
2001,2002,Production design,Art Direction:  Catherine Martin; Set Decoration:  Brigitte Broch,Moulin Rouge,True
2001,2002,Cinematography,Bruno Delbonnel,Amélie,False
2001,2002,Cinematography,Slawomir Idziak,Black Hawk Down,False
2001,2002,Cinematography,Andrew Lesnie,The Lord of the Rings: The Fellowship of the Ring,True
2001,2002,Cinematography,Roger Deakins,The Man Who Wasn't There,False
2001,2002,Cinematography,Donald M. McAlpine,Moulin Rouge,False
2001,2002,Costume design,Milena Canonero,The Affair of the Necklace,False
2001,2002,Costume design,Jenny Beavan,Gosford Park,False
2001,2002,Costume design,Judianna Makovsky,Harry Potter and the Sorcerer's Stone,False
2001,2002,Costume design,"Ngila Dickson, Richard Taylor",The Lord of the Rings: The Fellowship of the Ring,False
2001,2002,Costume design,"Catherine Martin, Angus Strathie",Moulin Rouge,True
2001,2002,Director,Ron Howard,A Beautiful Mind,True
2001,2002,Director,Ridley Scott,Black Hawk Down,False
2001,2002,Director,Robert Altman,Gosford Park,False
2001,2002,Director,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,False
2001,2002,Director,David Lynch,Mulholland Drive,False
2001,2002,Documentary feature,Edet Belzberg,Children Underground,False
2001,2002,Documentary feature,"Susan Froemke, Deborah Dickson",LaLee's Kin: The Legacy of Cotton,False
2001,2002,Documentary feature,"Jean-Xavier de Lestrade, Denis Poncet",Murder on a Sunday Morning,True
2001,2002,Documentary feature,"Justine Shapiro, B.Z. Goldberg",Promises,False
2001,2002,Documentary feature,Christian Frei,War Photographer,False
2001,2002,Documentary short film,Lianne Klapper McNally,Artists and Orphans: A True Drama,False
2001,2002,Documentary short film,"Freida Lee Mock, Jessica Sanders",Sing!,False
2001,2002,Documentary short film,"Sarah Kernochan, Lynn Appelle",Thoth,True
2001,2002,Film editing,"Mike Hill, Dan Hanley",A Beautiful Mind,False
2001,2002,Film editing,Pietro Scalia,Black Hawk Down,True
2001,2002,Film editing,John Gilbert,The Lord of the Rings: The Fellowship of the Ring,False
2001,2002,Film editing,Dody Dorn,Memento,False
2001,2002,Film editing,Jill Bilcock,Moulin Rouge,False
2001,2002,International feature film,France,Amélie,False
2001,2002,International feature film,Norway,Elling,False
2001,2002,International feature film,India,Lagaan,False
2001,2002,International feature film,Bosnia & Herzegovina,No Man's Land,True
2001,2002,International feature film,Argentina,Son of the Bride,False
2001,2002,Makeup and hairstyling,"Greg Cannom, Colleen Callaghan",A Beautiful Mind,False
2001,2002,Makeup and hairstyling,"Peter Owen, Richard Taylor",The Lord of the Rings: The Fellowship of the Ring,True
2001,2002,Makeup and hairstyling,"Maurizio Silvi, Aldo Signoretti",Moulin Rouge,False
2001,2002,Original score,John Williams,A.I. Artificial Intelligence,False
2001,2002,Original score,James Horner,A Beautiful Mind,False
2001,2002,Original score,John Williams,Harry Potter and the Sorcerer's Stone,False
2001,2002,Original score,Howard Shore,The Lord of the Rings: The Fellowship of the Ring,True
2001,2002,Original score,Randy Newman,"Monsters, Inc.",False
2001,2002,Original song,Music and Lyric by Randy Newman,"Monsters, Inc.",True
2001,2002,Original song,"Music and Lyric by Enya, Nicky Ryan and Roma Ryan",The Lord of the Rings: The Fellowship of the Ring,False
2001,2002,Original song,Music and Lyric by Diane Warren,Pearl Harbor,False
2001,2002,Original song,Music and Lyric by Sting,Kate & Leopold,False
2001,2002,Original song,Music and Lyric by Paul McCartney,Vanilla Sky,False
2001,2002,Best picture,"Brian Grazer and Ron Howard, Producers",A Beautiful Mind,True
2001,2002,Best picture,"Robert Altman, Bob Balaban and David Levy, Producers",Gosford Park,False
2001,2002,Best picture,"Graham Leader, Ross Katz and Todd Field, Producers",In the Bedroom,False
2001,2002,Best picture,"Peter Jackson, Fran Walsh and Barrie M. Osborne, Producers",The Lord of the Rings: The Fellowship of the Ring,False
2001,2002,Best picture,"Martin Brown, Baz Luhrmann and Fred Baron, Producers",Moulin Rouge,False
2001,2002,Short film animated,"Ruairi Robinson, Seamus Byrne",Fifty Percent Grey,False
2001,2002,Short film animated,Ralph Eggleston,For the Birds,True
2001,2002,Short film animated,"Cathal Gaffney, Darragh O'Connell",Give Up Yer Aul Sins,False
2001,2002,Short film animated,Cordell Barker,Strange Invaders,False
2001,2002,Short film animated,Joseph E. Merideth,Stubble Trouble,False
2001,2002,Short film live action,"Ray McKinnon, Lisa Blount",the accountant,True
2001,2002,Short film live action,Virgil Widrich,Copy Shop,False
2001,2002,Short film live action,Johannes Kiefer,Gregor's Greatest Invention,False
2001,2002,Short film live action,"Slawomir Fabicki, Bogumil Godfrejow",A Man Thing (Meska Sprawa),False
2001,2002,Short film live action,"Kalman Apple, Shameela Bakhsh",Speed for Thespians,False
2001,2002,Sound effects,"Vincent Arnardi, Guillaume Leriche, Jean Umansky",Amélie,False
2001,2002,Sound effects,"Michael Minkler, Myron Nettinga, Chris Munro",Black Hawk Down,True
2001,2002,Sound effects,"Christopher Boyes, Michael Semanick, Gethin Creagh, Hammond Peek",The Lord of the Rings: The Fellowship of the Ring,False
2001,2002,Sound effects,"Andy Nelson, Anna Behlmer, Roger Savage, Guntis Sics",Moulin Rouge,False
2001,2002,Sound effects,"Kevin O'Connell, Greg P. Russell, Peter J. Devlin",Pearl Harbor,False
2001,2002,Sound effects,"Gary Rydstrom, Michael Silvers","Monsters, Inc.",False
2001,2002,Sound effects,"George Watters II, Christopher Boyes",Pearl Harbor,True
2001,2002,Visual effects,"Dennis Muren, Scott Farrar, Stan Winston, Michael Lantieri",A.I. Artificial Intelligence,False
2001,2002,Visual effects,"Jim Rygiel, Randall William Cook, Richard Taylor, Mark Stetson",The Lord of the Rings: The Fellowship of the Ring,True
2001,2002,Visual effects,"Eric Brevig, John Frazier, Ed Hirsh, Ben Snow",Pearl Harbor,False
2001,2002,Adapted screenplay,Written by Akiva Goldsman,A Beautiful Mind,True
2001,2002,Adapted screenplay,Written by Daniel Clowes & Terry Zwigoff,Ghost World,False
2001,2002,Adapted screenplay,Screenplay by Rob Festinger and Todd Field,In the Bedroom,False
2001,2002,Adapted screenplay,"Screenplay by Fran Walsh, Philippa Boyens, Peter Jackson",The Lord of the Rings: The Fellowship of the Ring,False
2001,2002,Adapted screenplay,Written by Ted Elliott & Terry Rossio and Joe Stillman and Roger S.H. Schulman,Shrek,False
2001,2002,Adapted screenplay,Screenplay by Guillaume Laurant and Jean-Pierre Jeunet; Dialogue by Guillaume Laurant,Amélie,False
2001,2002,Adapted screenplay,Written by Julian Fellowes,Gosford Park,True
2001,2002,Adapted screenplay,Screenplay by Christopher Nolan; Story by Jonathan Nolan,Memento,False
2001,2002,Adapted screenplay,Written by Milo Addica & Will Rokos,Monster's Ball,False
2001,2002,Adapted screenplay,Written by Wes Anderson & Owen Wilson,The Royal Tenenbaums,False
2002,2003,Actor in a leading role,Adrien Brody,The Pianist,True
2002,2003,Actor in a leading role,Nicolas Cage,Adaptation,False
2002,2003,Actor in a leading role,Michael Caine,The Quiet American,False
2002,2003,Actor in a leading role,Daniel Day-Lewis,Gangs of New York,False
2002,2003,Actor in a leading role,Jack Nicholson,About Schmidt,False
2002,2003,Actor in a supporting role,Chris Cooper,Adaptation,True
2002,2003,Actor in a supporting role,Ed Harris,The Hours,False
2002,2003,Actor in a supporting role,Paul Newman,Road to Perdition,False
2002,2003,Actor in a supporting role,John C. Reilly,Chicago,False
2002,2003,Actor in a supporting role,Christopher Walken,Catch Me If You Can,False
2002,2003,Actress in a leading role,Salma Hayek,Frida,False
2002,2003,Actress in a leading role,Nicole Kidman,The Hours,True
2002,2003,Actress in a leading role,Diane Lane,Unfaithful,False
2002,2003,Actress in a leading role,Julianne Moore,Far from Heaven,False
2002,2003,Actress in a leading role,Renée Zellweger,Chicago,False
2002,2003,Actress in a supporting role,Kathy Bates,About Schmidt,False
2002,2003,Actress in a supporting role,Julianne Moore,The Hours,False
2002,2003,Actress in a supporting role,Queen Latifah,Chicago,False
2002,2003,Actress in a supporting role,Meryl Streep,Adaptation,False
2002,2003,Actress in a supporting role,Catherine Zeta-Jones,Chicago,True
2002,2003,Animated feature film,Chris Wedge,Ice Age,False
2002,2003,Animated feature film,Chris Sanders,Lilo & Stitch,False
2002,2003,Animated feature film,Jeffrey Katzenberg,Spirit: Stallion of the Cimarron,False
2002,2003,Animated feature film,Hayao Miyazaki,Spirited Away,True
2002,2003,Animated feature film,Ron Clements,Treasure Planet,False
2002,2003,Production design,Art Direction:  John Myhre; Set Decoration:  Gordon Sim,Chicago,True
2002,2003,Production design,Art Direction:  Felipe Fernandez del Paso; Set Decoration:  Hania Robledo,Frida,False
2002,2003,Production design,Art Direction:  Dante Ferretti; Set Decoration:  Francesca Lo Schiavo,Gangs of New York,False
2002,2003,Production design,Art Direction:  Grant Major; Set Decoration:  Dan Hennah and Alan Lee,The Lord of the Rings: The Two Towers,False
2002,2003,Production design,Art Direction:  Dennis Gassner; Set Decoration:  Nancy Haigh,Road to Perdition,False
2002,2003,Cinematography,Dion Beebe,Chicago,False
2002,2003,Cinematography,Edward Lachman,Far from Heaven,False
2002,2003,Cinematography,Michael Ballhaus,Gangs of New York,False
2002,2003,Cinematography,Pawel Edelman,The Pianist,False
2002,2003,Cinematography,Conrad L. Hall,Road to Perdition,True
2002,2003,Costume design,Colleen Atwood,Chicago,True
2002,2003,Costume design,Julie Weiss,Frida,False
2002,2003,Costume design,Sandy Powell,Gangs of New York,False
2002,2003,Costume design,Ann Roth,The Hours,False
2002,2003,Costume design,Anna Sheppard,The Pianist,False
2002,2003,Director,Rob Marshall,Chicago,False
2002,2003,Director,Martin Scorsese,Gangs of New York,False
2002,2003,Director,Stephen Daldry,The Hours,False
2002,2003,Director,Roman Polanski,The Pianist,True
2002,2003,Director,Pedro Almodóvar,Talk to Her,False
2002,2003,Documentary feature,"Michael Moore, Michael Donovan",Bowling for Columbine,True
2002,2003,Documentary feature,"Gail Dolgin, Vicente Franco",Daughter from Danang,False
2002,2003,Documentary feature,"Malcolm Clarke, Stuart Sender",Prisoner of Paradise,False
2002,2003,Documentary feature,"Jeffrey Blitz, Sean Welch",Spellbound,False
2002,2003,Documentary feature,Jacques Perrin,Winged Migration,False
2002,2003,Documentary short film,Alice Elliott,The Collector of Bedford Street,False
2002,2003,Documentary short film,"Robert Hudson, Bobby Houston",Mighty Times: The Legacy of Rosa Parks,False
2002,2003,Documentary short film,"Bill Guttentag, Robert David Port",Twin Towers,True
2002,2003,Documentary short film,"Roger Weisberg, Murray Nossel",Why Can't We Be a Family Again?,False
2002,2003,Film editing,Martin Walsh,Chicago,True
2002,2003,Film editing,Thelma Schoonmaker,Gangs of New York,False
2002,2003,Film editing,Peter Boyle,The Hours,False
2002,2003,Film editing,Michael Horton,The Lord of the Rings: The Two Towers,False
2002,2003,Film editing,Hervé de Luze,The Pianist,False
2002,2003,International feature film,Mexico,El Crimen del Padre Amaro,False
2002,2003,International feature film,People's Republic of China,Hero,False
2002,2003,International feature film,Finland,The Man without a Past,False
2002,2003,International feature film,Germany,Nowhere in Africa,True
2002,2003,International feature film,The Netherlands,Zus & Zo,False
2002,2003,Makeup and hairstyling,"John Jackson, Beatrice De Alba",Frida,True
2002,2003,Makeup and hairstyling,"John M. Elliott, Jr., Barbara Lorenz",The Time Machine,False
2002,2003,Original score,John Williams,Catch Me If You Can,False
2002,2003,Original score,Elmer Bernstein,Far from Heaven,False
2002,2003,Original score,Elliot Goldenthal,Frida,True
2002,2003,Original score,Philip Glass,The Hours,False
2002,2003,Original score,Thomas Newman,Road to Perdition,False
2002,2003,Original song,Music by Elliot Goldenthal; Lyric by Julie Taymor,Frida,False
2002,2003,Original song,Music and Lyric by Paul Simon,The Wild Thornberrys Movie,False
2002,2003,Original song,"Music and Lyric by Bono, The Edge, Adam Clayton and Larry Mullen",Gangs of New York,False
2002,2003,Original song,Music by John Kander; Lyric by Fred Ebb,Chicago,False
2002,2003,Original song,"Music by Eminem, Jeff Bass and Luis Resto; Lyric by Eminem",8 Mile,True
2002,2003,Best picture,"Martin Richards, Producer",Chicago,True
2002,2003,Best picture,"Alberto Grimaldi and Harvey Weinstein, Producers",Gangs of New York,False
2002,2003,Best picture,"Scott Rudin and Robert Fox, Producers",The Hours,False
2002,2003,Best picture,"Barrie M. Osborne, Fran Walsh and Peter Jackson, Producers",The Lord of the Rings: The Two Towers,False
2002,2003,Best picture,"Roman Polanski, Robert Benmussa and Alain Sarde, Producers",The Pianist,False
2002,2003,Short film animated,Tomek Baginski,The Cathedral,False
2002,2003,Short film animated,Eric Armstrong,The ChubbChubbs!,True
2002,2003,Short film animated,"Chris Stenner, Heidi Wittlinger",Das Rad,False
2002,2003,Short film animated,"Pete Docter, Roger Gould",Mike's New Car,False
2002,2003,Short film animated,Koji Yamamura,Mt. Head,False
2002,2003,Short film live action,"Dirk Beliën, Anja Daelemans",Fait D'Hiver,False
2002,2003,Short film live action,"Philippe Orreindy, Thomas Gaudin",I'll Wait for the Next One... (J'Attendrai Le Suivant...),False
2002,2003,Short film live action,"Steven Pasvolsky, Joe Weatherstone",Inja (Dog),False
2002,2003,Short film live action,"Lexi Alexander, Alexander Buono",Johnny Flynton,False
2002,2003,Short film live action,"Martin Strange-Hansen, Mie Andreasen",This Charming Man (Der Er En Yndig Mand),True
2002,2003,Sound effects,"Michael Minkler, Dominick Tavella, David Lee",Chicago,True
2002,2003,Sound effects,"Tom Fleischman, Eugene Gearty, Ivan Sharrock",Gangs of New York,False
2002,2003,Sound effects,"Christopher Boyes, Michael Semanick, Michael Hedges, Hammond Peek",The Lord of the Rings: The Two Towers,False
2002,2003,Sound effects,"Scott Millan, Bob Beemer, John Patrick Pritchett",Road to Perdition,False
2002,2003,Sound effects,"Kevin O'Connell, Greg P. Russell, Ed Novick",Spider-Man,False
2002,2003,Sound effects,"Ethan Van der Ryn, Michael Hopkins",The Lord of the Rings: The Two Towers,True
2002,2003,Sound effects,"Richard Hymns, Gary Rydstrom",Minority Report,False
2002,2003,Sound effects,Scott A. Hecker,Road to Perdition,False
2002,2003,Visual effects,"Jim Rygiel, Joe Letteri, Randall William Cook, Alex Funke",The Lord of the Rings: The Two Towers,True
2002,2003,Visual effects,"John Dykstra, Scott Stokdyk, Anthony LaMolinara, John Frazier",Spider-Man,False
2002,2003,Visual effects,"Rob Coleman, Pablo Helman, John Knoll, Ben Snow",Star Wars Episode II Attack of the Clones,False
2002,2003,Adapted screenplay,Screenplay by Peter Hedges and Chris Weitz & Paul Weitz,About a Boy,False
2002,2003,Adapted screenplay,Screenplay by Charlie Kaufman and Donald Kaufman,Adaptation,False
2002,2003,Adapted screenplay,Screenplay by Bill Condon,Chicago,False
2002,2003,Adapted screenplay,Screenplay by David Hare,The Hours,False
2002,2003,Adapted screenplay,Screenplay by Ronald Harwood,The Pianist,True
2002,2003,Original screenplay,Written by Todd Haynes,Far from Heaven,False
2002,2003,Original screenplay,Screenplay by Jay Cocks and Steve Zaillian and Kenneth Lonergan; Story by Jay Cocks,Gangs of New York,False
2002,2003,Original screenplay,Written by Nia Vardalos,My Big Fat Greek Wedding,False
2002,2003,Original screenplay,Written by Pedro Almodóvar,Talk to Her,True
2002,2003,Original screenplay,Written by Carlos Cuarón and Alfonso Cuarón,Y Tu Mamá También,False
2003,2004,Actor in a leading role,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl,False
2003,2004,Actor in a leading role,Ben Kingsley,House of Sand and Fog,False
2003,2004,Actor in a leading role,Jude Law,Cold Mountain,False
2003,2004,Actor in a leading role,Bill Murray,Lost in Translation,False
2003,2004,Actor in a leading role,Sean Penn,Mystic River,True
2003,2004,Actor in a supporting role,Alec Baldwin,The Cooler,False
2003,2004,Actor in a supporting role,Benicio Del Toro,21 Grams,False
2003,2004,Actor in a supporting role,Djimon Hounsou,In America,False
2003,2004,Actor in a supporting role,Tim Robbins,Mystic River,True
2003,2004,Actor in a supporting role,Ken Watanabe,The Last Samurai,False
2003,2004,Actress in a leading role,Keisha Castle-Hughes,Whale Rider,False
2003,2004,Actress in a leading role,Diane Keaton,Something's Gotta Give,False
2003,2004,Actress in a leading role,Samantha Morton,In America,False
2003,2004,Actress in a leading role,Charlize Theron,Monster,True
2003,2004,Actress in a leading role,Naomi Watts,21 Grams,False
2003,2004,Actress in a supporting role,Shohreh Aghdashloo,House of Sand and Fog,False
2003,2004,Actress in a supporting role,Patricia Clarkson,Pieces of April,False
2003,2004,Actress in a supporting role,Marcia Gay Harden,Mystic River,False
2003,2004,Actress in a supporting role,Holly Hunter,Thirteen,False
2003,2004,Actress in a supporting role,Renée Zellweger,Cold Mountain,True
2003,2004,Animated feature film,Aaron Blaise and Robert Walker,Brother Bear,False
2003,2004,Animated feature film,Andrew Stanton,Finding Nemo,True
2003,2004,Animated feature film,Sylvain Chomet,The Triplets of Belleville,False
2003,2004,Production design,Art Direction: Ben Van Os; Set Decoration: Cecile Heideman,Girl with a Pearl Earring,False
2003,2004,Production design,Art Direction: Lilly Kilvert; Set Decoration: Gretchen Rau,The Last Samurai,False
2003,2004,Production design,Art Direction: Grant Major; Set Decoration: Dan Hennah and Alan Lee,The Lord of the Rings: The Return of the King,True
2003,2004,Production design,Art Direction: William Sandell; Set Decoration: Robert Gould,Master and Commander: The Far Side of the World,False
2003,2004,Production design,Art Direction: Jeannine Oppewall; Set Decoration: Leslie Pope,Seabiscuit,False
2003,2004,Cinematography,Cesar Charlone,City of God,False
2003,2004,Cinematography,John Seale,Cold Mountain,False
2003,2004,Cinematography,Eduardo Serra,Girl with a Pearl Earring,False
2003,2004,Cinematography,Russell Boyd,Master and Commander: The Far Side of the World,True
2003,2004,Cinematography,John Schwartzman,Seabiscuit,False
2003,2004,Costume design,Dien van Straalen,Girl with a Pearl Earring,False
2003,2004,Costume design,Ngila Dickson,The Last Samurai,False
2003,2004,Costume design,Ngila Dickson and Richard Taylor,The Lord of the Rings: The Return of the King,True
2003,2004,Costume design,Wendy Stites,Master and Commander: The Far Side of the World,False
2003,2004,Costume design,Judianna Makovsky,Seabiscuit,False
2003,2004,Director,Fernando Meirelles,City of God,False
2003,2004,Director,Peter Jackson,The Lord of the Rings: The Return of the King,True
2003,2004,Director,Sofia Coppola,Lost in Translation,False
2003,2004,Director,Peter Weir,Master and Commander: The Far Side of the World,False
2003,2004,Director,Clint Eastwood,Mystic River,False
2003,2004,Documentary feature,Carlos Bosch and Josep Maria Domenech,Balseros,False
2003,2004,Documentary feature,Andrew Jarecki and Marc Smerling,Capturing the Friedmans,False
2003,2004,Documentary feature,Errol Morris and Michael Williams,The Fog of War,True
2003,2004,Documentary feature,Nathaniel Kahn and Susan R. Behr,My Architect,False
2003,2004,Documentary feature,Sam Green and Bill Siegel,The Weather Underground,False
