film,year_film,Total oscars nominations,Total oscars won,Oscars main categories nominations,Oscars main categories won,Oscars best picture,G.G. nominations,G.G. won,G.G. main categories nominations,G.G. main categories won,G.G. best motion picture,TMDb Score
Shame,1968,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.946
Why Man Creates,1968,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6
Wild in the Streets,1968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.845
The Magic Pear Tree,1968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8
Windy Day,1968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8
Winnie the Pooh and the Blustery Day,1968,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3
War and Peace,1968,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7
Young Americans,1968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7
The Lion in Winter,1968,7.0,3.0,4.0,1.0,0.0,7.0,2.0,5.0,2.0,1.0,7.429
The Legendary Champions,1968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not available
Chitty Chitty Bang Bang,1968,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.783
The House That Jack Built,1968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.145
The House That Ananda Built,1968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7
The Heart Is a Lonely Hunter,1968,2.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,7.643
The Revolving Door,1968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faces,1968,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.195
"Producers, The (1967)",1968,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,Not available
Joanna,1968,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.4
Bullitt,1968,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2
The Odd Couple,1968,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.508
A Way Out of the Wilderness,1968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7
I Even Met Happy Gypsies,1968,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.8
The Killing of Sister George,1968,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.265
War and Peace (1966),1968,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Not available
Journey into Self,1968,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6
"Rachel, Rachel",1968,4.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,6.519
Oliver!,1968,11.0,5.0,4.0,2.0,1.0,5.0,2.0,4.0,2.0,1.0,6.719
Isadora,1968,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.2
Other Voices,1968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.622
2001: A Space Odyssey,1968,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.078
Hot Millions,1968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.478
Rosemary's Baby,1968,2.0,1.0,1.0,1.0,0.0,4.0,1.0,2.0,1.0,0.0,7.818
Planet of the Apes,1968,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6
Prelude,1968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6
Romeo and Juliet,1968,4.0,2.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,7.347
Robert Kennedy Remembered,1968,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
The Scalphunters,1968,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.422
A Few Notes on Our Food Problem,1968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Star!,1968,7.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,4.5
Ice Station Zebra,1968,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.201
"Yours, Mine and Ours",1968,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,6.8
Stolen Kisses,1968,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.297
A Space to Grow,1968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3
Cactus Flower,1969,1.0,1.0,1.0,1.0,0.0,4.0,1.0,3.0,1.0,0.0,7.149
Paint Your Wagon,1969,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,6.4
The Sterile Cuckoo,1969,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.333
Leo Beuerman,1969,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.667
"Goodbye, Mr. Chips",1969,2.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,7.415
