year_film,year_award,Golden Globes nominations,nominee,film,Golden Globes winner
1989,1990,Best screenplay - motion picture,Nora Ephron,When Harry Met Sally,False
1989,1990,Best motion picture - foreign language,Cinema Paradiso,"Italy, Giuseppe Tornatore",True
1989,1990,Best motion picture - foreign language,Story of Women,"France, Claude Chabrol",False
1989,1990,Best motion picture - foreign language,Camille Claudel,"France, Bruno Nuytten",False
1989,1990,Best motion picture - foreign language,Jesus of Montreal,"Canada, Denys Arcand",False
1989,1990,Best motion picture - foreign language,My Uncle's Legacy,"Yugoslavia, Krsto Papic ",False
1989,1990,Best original score - motion picture,Alan Menken,"Little Mermaid, The",True
1989,1990,Best original score - motion picture,James Horner,Glory,False
1989,1990,Best original score - motion picture,John Williams,Born on the Fourth of July,False
1989,1990,Best original score - motion picture,Ennio Morricone,Casualties of War,False
1989,1990,Best original score - motion picture,Dave Grusin,"Fabulous Baker Boys, The",False
1989,1990,Best original song - motion picture,"Under the Sea, Alan Menken, Howard Ashman","Little Mermaid, The",True
1989,1990,Best original song - motion picture,"After All, Tom Snow, Dean Pitchford",Chances Are,False
1989,1990,Best original song - motion picture,"The Girl Who Used To Be Me, Marvin Hamlisch, Alan Bergman, Marilyn Bergman",Shirley Valentine,False
1989,1990,Best original song - motion picture,"I Love To See You Smile, Randy Newman",Parenthood,False
1989,1990,Best original song - motion picture,"Kiss the Girl, Alan Menken, Howard Ashman","Little Mermaid, The",False
1990,1991,Best motion picture - drama,Dances with Wolves,Dances with Wolves,True
1990,1991,Best motion picture - drama,Avalon,Avalon,False
1990,1991,Best motion picture - drama,"Godfather Part III, The","Godfather Part III, The",False
1990,1991,Best motion picture - drama,GoodFellas,GoodFellas,False
1990,1991,Best motion picture - drama,Reversal of Fortune,Reversal of Fortune,False
1990,1991,Best motion picture - musical or comedy,Green Card,Green Card,True
1990,1991,Best motion picture - musical or comedy,Ghost,Ghost,False
1990,1991,Best motion picture - musical or comedy,Home Alone,Home Alone,False
1990,1991,Best motion picture - musical or comedy,Pretty Woman,Pretty Woman,False
1990,1991,Best motion picture - musical or comedy,Dick Tracy,Dick Tracy,False
1990,1991,Best actress - drama,Kathy Bates,Misery,True
1990,1991,Best actress - drama,Michelle Pfeiffer,"Russia House, The",False
1990,1991,Best actress - drama,Susan Sarandon,White Palace,False
1990,1991,Best actress - drama,Joanne Woodward,Mr. & Mrs. Bridge,False
1990,1991,Best actress - drama,Anjelica Huston,"Grifters, The",False
1990,1991,Best actor - drama,Jeremy Irons,Reversal of Fortune,True
1990,1991,Best actor - drama,Kevin Costner,Dances with Wolves,False
1990,1991,Best actor - drama,Richard Harris,"Field, The",False
1990,1991,Best actor - drama,Al Pacino,"Godfather Part III, The",False
1990,1991,Best actor - drama,Robin Williams,Awakenings,False
1990,1991,Best actress - musical or comedy,Julia Roberts,Pretty Woman,True
1990,1991,Best actress - musical or comedy,Mia Farrow,Alice (1990),False
1990,1991,Best actress - musical or comedy,Andie MacDowell,Green Card,False
1990,1991,Best actress - musical or comedy,Demi Moore,Ghost,False
1990,1991,Best actress - musical or comedy,Meryl Streep,Postcards From The Edge,False
1990,1991,Best actor - musical or comedy,Gérard Depardieu,Green Card,True
1990,1991,Best actor - musical or comedy,Patrick Swayze,Ghost,False
1990,1991,Best actor - musical or comedy,Macaulay Culkin,Home Alone,False
1990,1991,Best actor - musical or comedy,Johnny Depp,Edward Scissorhands,False
1990,1991,Best actor - musical or comedy,Richard Gere,Pretty Woman,False
1990,1991,Best supporting actress - motion picture,Whoopi Goldberg,Ghost,True
1990,1991,Best supporting actress - motion picture,Lorraine Bracco,GoodFellas,False
1990,1991,Best supporting actress - motion picture,Diane Ladd,Wild at Heart,False
1990,1991,Best supporting actress - motion picture,Shirley MacLaine,Postcards From The Edge,False
1990,1991,Best supporting actress - motion picture,Mary McDonnell,Dances with Wolves,False
1990,1991,Best supporting actress - motion picture,Winona Ryder,Mermaids,False
1990,1991,Best supporting actor - motion picture,Bruce Davison,Longtime Companion,True
1990,1991,Best supporting actor - motion picture,Al Pacino,Dick Tracy,False
1990,1991,Best supporting actor - motion picture,Joe Pesci,GoodFellas,False
1990,1991,Best supporting actor - motion picture,Armand Assante,Q & A,False
1990,1991,Best supporting actor - motion picture,Hector Elizondo,Pretty Woman,False
1990,1991,Best supporting actor - motion picture,Andy Garcia,"Godfather Part III, The",False
1990,1991,Best director - motion picture,Kevin Costner,Dances with Wolves,True
1990,1991,Best director - motion picture,Bernardo Bertolucci,"Sheltering Sky, The",False
1990,1991,Best director - motion picture,Francis Ford Coppola,"Godfather Part III, The",False
1990,1991,Best director - motion picture,Barbet Schroeder,Reversal of Fortune,False
1990,1991,Best director - motion picture,Martin Scorsese,GoodFellas,False
1990,1991,Best screenplay - motion picture,Michael Blake,Dances with Wolves,True
1990,1991,Best screenplay - motion picture,Barry Levinson,Avalon,False
1990,1991,Best screenplay - motion picture,Francis Ford Coppola,"Godfather Part III, The",False
1990,1991,Best screenplay - motion picture,Nicholas Pileggi,GoodFellas,False
1990,1991,Best screenplay - motion picture,Nicholas Kazan,Reversal of Fortune,False
1990,1991,Best motion picture - foreign language,Cyrano De Bergerac (1990),"France, Jean-Paul Rappeneau",True
1990,1991,Best motion picture - foreign language,"Nasty Girl, The","Germany, Michael Verhoeven",False
1990,1991,Best motion picture - foreign language,Requiem For Dominic,"Austria, Robert Dornhelm",False
1990,1991,Best motion picture - foreign language,Taxi Blues,"United Soviet Socialist Republics, Pavel Lungin ",False
1990,1991,Best motion picture - foreign language,Akira Kurosawa's Dreams,"Japan, Akira Kurosawa",False
1990,1991,Best original score - motion picture,"Richard Horowitz, Ryuichi Sakamoto","Sheltering Sky, The",True
1990,1991,Best original score - motion picture,John Barry,Dances with Wolves,False
1990,1991,Best original score - motion picture,Carmine Coppola,"Godfather Part III, The",False
1990,1991,Best original score - motion picture,Dave Grusin,Havana,False
1990,1991,Best original score - motion picture,Randy Newman,Avalon,False
1990,1991,Best original song - motion picture,"Blaze of Glory, Jon Bon Jovi",Young Guns II,True
1990,1991,Best original song - motion picture,"I'm Checkin' Out, Shel Silverstein",Postcards From The Edge,False
1990,1991,Best original song - motion picture,"Promise Me You'll Remember, Carmine Coppola, John Bettis","Godfather Part III, The",False
1990,1991,Best original song - motion picture,"Sooner or Later (I Always Get My Man), Stephen Sondheim",Dick Tracy,False
1990,1991,Best original song - motion picture,"What Can You Lose?, Stephen Sondheim",Dick Tracy,False
1991,1992,Best motion picture - drama,Bugsy,Bugsy,True
1991,1992,Best motion picture - drama,JFK,JFK,False
1991,1992,Best motion picture - drama,"Prince of Tides, The","Prince of Tides, The",False
1991,1992,Best motion picture - drama,"Silence of the Lambs, The","Silence of the Lambs, The",False
1991,1992,Best motion picture - drama,Thelma & Louise,Thelma & Louise,False
1991,1992,Best motion picture - musical or comedy,Beauty and the Beast,Beauty and the Beast,True
1991,1992,Best motion picture - musical or comedy,"Commitments, The","Commitments, The",False
1991,1992,Best motion picture - musical or comedy,"Fisher King, The","Fisher King, The",False
1991,1992,Best motion picture - musical or comedy,Fried Green Tomatoes,Fried Green Tomatoes,False
1991,1992,Best motion picture - musical or comedy,City Slickers,City Slickers,False
1991,1992,Best actress - drama,Jodie Foster,"Silence of the Lambs, The",True
1991,1992,Best actress - drama,Geena Davis,Thelma & Louise,False
1991,1992,Best actress - drama,Laura Dern,Rambling Rose,False
1991,1992,Best actress - drama,Susan Sarandon,Thelma & Louise,False
1991,1992,Best actress - drama,Annette Bening,Bugsy,False
1991,1992,Best actor - drama,Nick Nolte,"Prince of Tides, The",True
1991,1992,Best actor - drama,Warren Beatty,Bugsy,False
1991,1992,Best actor - drama,Kevin Costner,JFK,False
1991,1992,Best actor - drama,Robert De Niro,Cape Fear,False
1991,1992,Best actor - drama,Anthony Hopkins,"Silence of the Lambs, The",False
1991,1992,Best actress - musical or comedy,Bette Midler,For The Boys,True
1991,1992,Best actress - musical or comedy,Ellen Barkin,Switch,False
1991,1992,Best actress - musical or comedy,Kathy Bates,Fried Green Tomatoes,False
1991,1992,Best actress - musical or comedy,Anjelica Huston,"Addams Family, The",False
1991,1992,Best actress - musical or comedy,Michelle Pfeiffer,Frankie & Johnny,False
1991,1992,Best actor - musical or comedy,Robin Williams,"Fisher King, The",True
1991,1992,Best actor - musical or comedy,Billy Crystal,City Slickers,False
1991,1992,Best actor - musical or comedy,Dustin Hoffman,Hook,False
1991,1992,Best actor - musical or comedy,Kevin Kline,Soapdish,False
1991,1992,Best actor - musical or comedy,Jeff Bridges,"Fisher King, The",False
1991,1992,Best supporting actress - motion picture,Mercedes Ruehl,"Fisher King, The",True
1991,1992,Best supporting actress - motion picture,Diane Ladd,Rambling Rose,False
1991,1992,Best supporting actress - motion picture,Juliette Lewis,Cape Fear,False
1991,1992,Best supporting actress - motion picture,Jessica Tandy,Fried Green Tomatoes,False
1991,1992,Best supporting actress - motion picture,Nicole Kidman,Billy Bathgate,False
1991,1992,Best supporting actor - motion picture,Jack Palance,City Slickers,True
1991,1992,Best supporting actor - motion picture,Ned Beatty,Hear My Song,False
1991,1992,Best supporting actor - motion picture,John Goodman,Barton Fink,False
1991,1992,Best supporting actor - motion picture,Harvey Keitel,Bugsy,False
1991,1992,Best supporting actor - motion picture,Ben Kingsley,Bugsy,False
1991,1992,Best director - motion picture,Oliver Stone,JFK,True
1991,1992,Best director - motion picture,Jonathan Demme,"Silence of the Lambs, The",False
1991,1992,Best director - motion picture,Terry Gilliam,"Fisher King, The",False
1991,1992,Best director - motion picture,Barry Levinson,Bugsy,False
1991,1992,Best director - motion picture,Barbra Streisand,"Prince of Tides, The",False
1991,1992,Best screenplay - motion picture,Callie Khouri,Thelma & Louise,True
1991,1992,Best screenplay - motion picture,James Toback,Bugsy,False
1991,1992,Best screenplay - motion picture,Lawrence Kasdan,Grand Canyon,False
1991,1992,Best screenplay - motion picture,Ted Tally,"Silence of the Lambs, The",False
1991,1992,Best screenplay - motion picture,"Oliver Stone, Zachary Sklar",JFK,False
1991,1992,Best motion picture - foreign language,Europa Europa,"Germany, Agnieszka Holland",True
1991,1992,Best motion picture - foreign language,The Double Life of Veronique,"France, Krzysztof Kieslowski",False
1991,1992,Best motion picture - foreign language,"Femme Nikita, La","France, Luc Besson",False
1991,1992,Best motion picture - foreign language,High Heels,"Spain, Pedro Almodóvar",False
1991,1992,Best motion picture - foreign language,Lost in Siberia,"United Soviet Socialist Republics, Alexander Mitta ",False
1991,1992,Best motion picture - foreign language,Madame Bovary,"France, Claude Chabrol",False
1991,1992,Best original score - motion picture,Alan Menken,Beauty and the Beast,True
1991,1992,Best original score - motion picture,Ennio Morricone,Bugsy,False
1991,1992,Best original score - motion picture,Patrick Doyle,Dead Again,False
1991,1992,Best original score - motion picture,Dave Grusin,For The Boys,False
1991,1992,Best original score - motion picture,Michael Kamen,Robin Hood: Prince of Thieves,False
1991,1992,Best original score - motion picture,Zbigniew Preisner,At Play in the Fields of the Lord,False
1991,1992,Best original song - motion picture,"Beauty and the Beast, Alan Menken, Howard Ashman",Beauty and the Beast,True
1991,1992,Best original song - motion picture,"(Everything I Do) I Do It For You, Michael Kamen, Bryan Adams, Robert John Lange",Robin Hood: Prince of Thieves,False
1991,1992,Best original song - motion picture,"Tears in Heaven, Eric Clapton, Will Jennings",Rush (1991),False
1991,1992,Best original song - motion picture,"Be Our Guest, Alan Menken, Howard Ashman",Beauty and the Beast,False
1991,1992,Best original song - motion picture,"Dreams to Dream, James Horner, Will Jennings","American Tail, An : Fievel Goes West",False
1992,1993,Best motion picture - drama,Scent of a Woman,Scent of a Woman,True
1992,1993,Best motion picture - drama,"Few Good Men, A","Few Good Men, A",False
1992,1993,Best motion picture - drama,Howards End,Howards End,False
1992,1993,Best motion picture - drama,Unforgiven,Unforgiven,False
1992,1993,Best motion picture - drama,"Crying Game, The","Crying Game, The",False
1992,1993,Best motion picture - musical or comedy,"Player, The","Player, The",True
1992,1993,Best motion picture - musical or comedy,Aladdin,Aladdin,False
1992,1993,Best motion picture - musical or comedy,Enchanted April,Enchanted April,False
1992,1993,Best motion picture - musical or comedy,Honeymoon In Vegas,Honeymoon In Vegas,False
1992,1993,Best motion picture - musical or comedy,Sister Act,Sister Act,False
1992,1993,Best actress - drama,Emma Thompson,Howards End,True
1992,1993,Best actress - drama,Mary McDonnell,Passion Fish,False
1992,1993,Best actress - drama,Michelle Pfeiffer,Love Field,False
1992,1993,Best actress - drama,Susan Sarandon,Lorenzo's Oil,False
1992,1993,Best actress - drama,Sharon Stone,Basic Instinct,False
1992,1993,Best actor - drama,Al Pacino,Scent of a Woman,True
1992,1993,Best actor - drama,Tom Cruise,"Few Good Men, A",False
1992,1993,Best actor - drama,Robert Downey Jr.,Chaplin,False
1992,1993,Best actor - drama,Jack Nicholson,Hoffa,False
1992,1993,Best actor - drama,Denzel Washington,Malcolm X,False
1992,1993,Best actress - musical or comedy,Miranda Richardson,Enchanted April,True
1992,1993,Best actress - musical or comedy,Geena Davis,"League of Their Own, A",False
1992,1993,Best actress - musical or comedy,Whoopi Goldberg,Sister Act,False
1992,1993,Best actress - musical or comedy,Shirley MacLaine,Used People,False
1992,1993,Best actress - musical or comedy,Meryl Streep,Death Becomes Her,False
1992,1993,Best actor - musical or comedy,Tim Robbins,"Player, The",True
1992,1993,Best actor - musical or comedy,Tim Robbins,Bob Roberts,False
1992,1993,Best actor - musical or comedy,Nicolas Cage,Honeymoon In Vegas,False
1992,1993,Best actor - musical or comedy,Billy Crystal,Mr. Saturday Night,False
1992,1993,Best actor - musical or comedy,Marcello Mastroianni,Used People,False
1992,1993,Best supporting actress - motion picture,Joan Plowright,Enchanted April,True
1992,1993,Best supporting actress - motion picture,Geraldine Chaplin,Chaplin,False
1992,1993,Best supporting actress - motion picture,Judy Davis,Husbands and Wives,False
1992,1993,Best supporting actress - motion picture,Miranda Richardson,Damage,False
1992,1993,Best supporting actress - motion picture,Alfre Woodard,Passion Fish,False
1992,1993,Best supporting actor - motion picture,Gene Hackman,Unforgiven,True
1992,1993,Best supporting actor - motion picture,Jack Nicholson,"Few Good Men, A",False
1992,1993,Best supporting actor - motion picture,Chris O'Donnell,Scent of a Woman,False
1992,1993,Best supporting actor - motion picture,Al Pacino,Glengarry Glen Ross,False
1992,1993,Best supporting actor - motion picture,David Paymer,Mr. Saturday Night,False
1992,1993,Best director - motion picture,Clint Eastwood,Unforgiven,True
1992,1993,Best director - motion picture,Robert Altman,"Player, The",False
1992,1993,Best director - motion picture,James Ivory,Howards End,False
1992,1993,Best director - motion picture,Robert Redford,"River Runs Through It, A",False
1992,1993,Best director - motion picture,Rob Reiner,"Few Good Men, A",False
1992,1993,Best screenplay - motion picture,Bo Goldman,Scent of a Woman,True
1992,1993,Best screenplay - motion picture,Aaron Sorkin,"Few Good Men, A",False
1992,1993,Best screenplay - motion picture,Ruth Prawer Jhabvala,Howards End,False
1992,1993,Best screenplay - motion picture,Michael Tolkin,"Player, The",False
1992,1993,Best screenplay - motion picture,David Webb Peoples,Unforgiven,False
1992,1993,Best motion picture - foreign language,Indochine,"France, Régis Wargnier",True
1992,1993,Best motion picture - foreign language,All The Mornings of The World,"France, Alain Corneau",False
1992,1993,Best motion picture - foreign language,Close to Eden,"Russia, Nikita Mikhalkov",False
1992,1993,Best motion picture - foreign language,Like Water for Chocolate,"Mexico, Alfonso Arau",False
1992,1993,Best motion picture - foreign language,Schtonk!,"Germany, Helmut Dietl",False
1992,1993,Best original score - motion picture,Alan Menken,Aladdin,True
1992,1993,Best original score - motion picture,Jerry Goldsmith,Basic Instinct,False
1992,1993,Best original score - motion picture,John Barry,Chaplin,False
1992,1993,Best original score - motion picture,Vangelis Papathanassiou,1492: Conquest Of Paradise,False
1992,1993,Best original score - motion picture,"Randy Edelman, Trevor Jones","Last Of The Mohicans, The",False
1992,1993,Best original song - motion picture,"A Whole New World, Alan Menken, Tim Rice",Aladdin,True
1992,1993,Best original song - motion picture,"Beautiful Maria of My Soul, Robert Kraft, Arne Glimcher","Mambo Kings, The",False
1992,1993,Best original song - motion picture,"Friend Like Me, Alan Menken, Tim Rice",Aladdin,False
1992,1993,Best original song - motion picture,"Prince Ali, Alan Menken, Tim Rice",Aladdin,False
1992,1993,Best original song - motion picture,"This Used To Be My Playground, Madonna, Shep Pettibone","League of Their Own, A",False
1993,1994,Best motion picture - drama,Schindler's List,Schindler's List,True
1993,1994,Best motion picture - drama,In the Name of the Father,In the Name of the Father,False
1993,1994,Best motion picture - drama,The Piano,The Piano,False
1993,1994,Best motion picture - drama," Remains of the Day, The"," Remains of the Day, The",False
1993,1994,Best motion picture - drama,"Age of Innocence, The","Age of Innocence, The",False
1993,1994,Best motion picture - musical or comedy,Mrs. Doubtfire,Mrs. Doubtfire,True
1993,1994,Best motion picture - musical or comedy,Dave,Dave,False
1993,1994,Best motion picture - musical or comedy,Much Ado About Nothing,Much Ado About Nothing,False
1993,1994,Best motion picture - musical or comedy,Sleepless in Seattle,Sleepless in Seattle,False
1993,1994,Best motion picture - musical or comedy,Strictly Ballroom,Strictly Ballroom,False
1993,1994,Best actress - drama,Holly Hunter,The Piano,True
1993,1994,Best actress - drama,Juliette Binoche,Three Colours: Blue (Trois couleurs: Bleu) ,False
1993,1994,Best actress - drama,Michelle Pfeiffer,"Age of Innocence, The",False
1993,1994,Best actress - drama,Emma Thompson," Remains of the Day, The",False
1993,1994,Best actress - drama,Debra Winger,"Dangerous Woman, A",False
1993,1994,Best actor - drama,Tom Hanks,Philadelphia,True
1993,1994,Best actor - drama,Daniel Day-Lewis,In the Name of the Father,False
1993,1994,Best actor - drama,Harrison Ford,"Fugitive, The",False
1993,1994,Best actor - drama,Anthony Hopkins," Remains of the Day, The",False
1993,1994,Best actor - drama,Liam Neeson,Schindler's List,False
1993,1994,Best actress - musical or comedy,Angela Bassett,What's Love Got To Do With It,True
1993,1994,Best actress - musical or comedy,Stockard Channing,Six Degrees of Separation,False
1993,1994,Best actress - musical or comedy,Anjelica Huston,Addams Family Values,False
1993,1994,Best actress - musical or comedy,Diane Keaton,Manhattan Murder Mystery,False
1993,1994,Best actress - musical or comedy,Meg Ryan,Sleepless in Seattle,False
1993,1994,Best actor - musical or comedy,Robin Williams,Mrs. Doubtfire,True
1993,1994,Best actor - musical or comedy,Tom Hanks,Sleepless in Seattle,False
1993,1994,Best actor - musical or comedy,Kevin Kline,Dave,False
1993,1994,Best actor - musical or comedy,Colm Meaney,"Snapper, The",False
1993,1994,Best actor - musical or comedy,Johnny Depp,Benny & Joon,False
1993,1994,Best supporting actress - motion picture,Winona Ryder,"Age of Innocence, The",True
1993,1994,Best supporting actress - motion picture,Penelope Ann Miller,Carlito's Way,False
1993,1994,Best supporting actress - motion picture,Anna Paquin,The Piano,False
1993,1994,Best supporting actress - motion picture,Rosie Perez,Fearless,False
1993,1994,Best supporting actress - motion picture,Emma Thompson,In the Name of the Father,False
1993,1994,Best supporting actor - motion picture,Tommy Lee Jones,"Fugitive, The",True
1993,1994,Best supporting actor - motion picture,Ralph Fiennes,Schindler's List,False
1993,1994,Best supporting actor - motion picture,John Malkovich,In the Line of Fire,False
1993,1994,Best supporting actor - motion picture,Sean Penn,Carlito's Way,False
1993,1994,Best supporting actor - motion picture,Leonardo DiCaprio,What's Eating Gilbert Grape,False
1993,1994,Best director - motion picture,Steven Spielberg,Schindler's List,True
1993,1994,Best director - motion picture,Jane Campion,The Piano,False
1993,1994,Best director - motion picture,Andrew Davis,"Fugitive, The",False
1993,1994,Best director - motion picture,James Ivory," Remains of the Day, The",False
1993,1994,Best director - motion picture,Martin Scorsese,"Age of Innocence, The",False
1993,1994,Best screenplay - motion picture,Steven Zaillian,Schindler's List,True
1993,1994,Best screenplay - motion picture,Ron Nyswaner,Philadelphia,False
1993,1994,Best screenplay - motion picture,Jane Campion,The Piano,False
1993,1994,Best screenplay - motion picture,Ruth Prawer Jhabvala," Remains of the Day, The",False
1993,1994,Best screenplay - motion picture,Robert Altman,Short Cuts,False
1993,1994,Best motion picture - foreign language,Farewell My Concubine,"Hong Kong, Chen Kaige",True
1993,1994,Best motion picture - foreign language,Three Colours: Blue (Trois couleurs: Bleu) ,"France, Krzysztof Kieslowski",False
1993,1994,Best motion picture - foreign language,Flight of the Innocent,"Italy, Carlo Carlei",False
1993,1994,Best motion picture - foreign language,Justiz,"Germany, Hans W. Geissendörfer",False
1993,1994,Best motion picture - foreign language,The Wedding Banquet,"Taiwan, Ang Lee",False
1993,1994,Best original score - motion picture,Kitarô,Heaven & Earth,True
1993,1994,Best original score - motion picture,Danny Elfman,The Nightmare Before Christmas,False
1993,1994,Best original score - motion picture,Zbigniew Preisner,Three Colours: Blue (Trois couleurs: Bleu) ,False
1993,1994,Best original score - motion picture,Michael Nyman,The Piano,False
1993,1994,Best original score - motion picture,John Williams,Schindler's List,False
1993,1994,Best original song - motion picture,"Streets of Philadelphia, Bruce Springsteen",Philadelphia,True
1993,1994,Best original song - motion picture,"Again, Janet Jackson, Jimmy Jam, Terry Lewis",Poetic Justice,False
1993,1994,Best original song - motion picture,"The Day I Fall In Love, James Ingram, Carole Bayer Sager, Clif Magness",Beethoven's 2nd,False
1993,1994,Best original song - motion picture,"Stay (Faraway, So Close!), U2","Faraway, So Close!",False
1993,1994,Best original song - motion picture,"(You Made Me the) Thief of Your Heart, Bono, Gavin Friday, Maurice Seezer",In the Name of the Father,False
1994,1995,Best motion picture - drama,Forrest Gump,Forrest Gump,True
1994,1995,Best motion picture - drama,Legends of the Fall,Legends of the Fall,False
1994,1995,Best motion picture - drama,Nell,Nell,False
1994,1995,Best motion picture - drama,Pulp Fiction,Pulp Fiction,False
1994,1995,Best motion picture - drama,Quiz Show,Quiz Show,False
1994,1995,Best motion picture - musical or comedy,The Lion King,The Lion King,True
1994,1995,Best motion picture - musical or comedy,"Adventures of Priscilla, Queen of the Desert, The","Adventures of Priscilla, Queen of the Desert, The",False
1994,1995,Best motion picture - musical or comedy,Ed Wood,Ed Wood,False
1994,1995,Best motion picture - musical or comedy,Four Weddings and a Funeral,Four Weddings and a Funeral,False
1994,1995,Best motion picture - musical or comedy,Ready to Wear,Ready to Wear,False
1994,1995,Best actress - drama,Jessica Lange,Blue Sky,True
1994,1995,Best actress - drama,Meryl Streep,"River Wild, The",False
1994,1995,Best actress - drama,Jodie Foster,Nell,False
1994,1995,Best actress - drama,Jennifer Jason Leigh,Mrs. Parker and The Vicious Circle,False
1994,1995,Best actress - drama,Miranda Richardson,Tom & Viv,False
1994,1995,Best actor - drama,Tom Hanks,Forrest Gump,True
1994,1995,Best actor - drama,Morgan Freeman,"Shawshank Redemption, The",False
1994,1995,Best actor - drama,Paul Newman,Nobody's Fool,False
1994,1995,Best actor - drama,Brad Pitt,Legends of the Fall,False
1994,1995,Best actor - drama,John Travolta,Pulp Fiction,False
1994,1995,Best actress - musical or comedy,Jamie Lee Curtis,True Lies,True
1994,1995,Best actress - musical or comedy,Geena Davis,Speechless,False
1994,1995,Best actress - musical or comedy,Andie MacDowell,Four Weddings and a Funeral,False
1994,1995,Best actress - musical or comedy,Shirley MacLaine,Guarding Tess,False
1994,1995,Best actress - musical or comedy,Emma Thompson,Junior,False
1994,1995,Best actor - musical or comedy,Hugh Grant,Four Weddings and a Funeral,True
1994,1995,Best actor - musical or comedy,Terence Stamp,"Adventures of Priscilla, Queen of the Desert, The",False
1994,1995,Best actor - musical or comedy,Jim Carrey,"Mask, The",False
1994,1995,Best actor - musical or comedy,Johnny Depp,Ed Wood,False
1994,1995,Best actor - musical or comedy,Arnold Schwarzenegger,Junior,False
1994,1995,Best supporting actress - motion picture,Dianne Wiest,Bullets Over Broadway,True
1994,1995,Best supporting actress - motion picture,Kirsten Dunst,Interview with the Vampire (The Vampire Chronicles),False
1994,1995,Best supporting actress - motion picture,Sophia Loren,Ready to Wear,False
1994,1995,Best supporting actress - motion picture,Uma Thurman,Pulp Fiction,False
1994,1995,Best supporting actress - motion picture,Robin Wright,Forrest Gump,False
1994,1995,Best supporting actor - motion picture,Martin Landau,Ed Wood,True
1994,1995,Best supporting actor - motion picture,Kevin Bacon,"River Wild, The",False
1994,1995,Best supporting actor - motion picture,Samuel L. Jackson,Pulp Fiction,False
1994,1995,Best supporting actor - motion picture,Gary Sinise,Forrest Gump,False
1994,1995,Best supporting actor - motion picture,John Turturro,Quiz Show,False
1994,1995,Best director - motion picture,Robert Zemeckis,Forrest Gump,True
1994,1995,Best director - motion picture,Edward Zwick,Legends of the Fall,False
1994,1995,Best director - motion picture,Robert Redford,Quiz Show,False
1994,1995,Best director - motion picture,Oliver Stone,Natural Born Killers,False
1994,1995,Best director - motion picture,Quentin Tarantino,Pulp Fiction,False
1994,1995,Best screenplay - motion picture,Quentin Tarantino,Pulp Fiction,True
1994,1995,Best screenplay - motion picture,Frank Darabont,"Shawshank Redemption, The",False
1994,1995,Best screenplay - motion picture,Eric Roth,Forrest Gump,False
1994,1995,Best screenplay - motion picture,Richard Curtis,Four Weddings and a Funeral,False
1994,1995,Best screenplay - motion picture,Paul Attanasio,Quiz Show,False
1994,1995,Best motion picture - foreign language,Farinelli: Il Castrato,"Belgium, Gérard Corbiau",True
1994,1995,Best motion picture - foreign language,Eat Drink Man Woman,"Taiwan, Ang Lee",False
1994,1995,Best motion picture - foreign language,Queen Margot,"France, Patrice Chéreau",False
1994,1995,Best motion picture - foreign language,Three Colors: Red,"Switzerland, Krzysztof Kieslowski",False
1994,1995,Best motion picture - foreign language,To Live,"Hong Kong, Zhang Yimou",False
1994,1995,Best original score - motion picture,Hans Zimmer,The Lion King,True
1994,1995,Best original score - motion picture,Alan Silvestri,Forrest Gump,False
1994,1995,Best original score - motion picture,Elliot Goldenthal,Interview with the Vampire (The Vampire Chronicles),False
1994,1995,Best original score - motion picture,James Horner,Legends of the Fall,False
1994,1995,Best original score - motion picture,Mark Isham,Nell,False
1994,1995,Best original song - motion picture,"Can You Feel the Love Tonight?, Elton John, Tim Rice",The Lion King,True
1994,1995,Best original song - motion picture,"Far Longer Than Forever, Lex De Azevedo, David Zippel",The Swan Princess,False
1994,1995,Best original song - motion picture,"I'll Remember, Madonna, Patrick Leonard, Richard Page",With Honors,False
1994,1995,Best original song - motion picture,"Look What Love Has Done, James Newton Howard, Carole Bayer Sager, James Ingram, Patty Smyth",Junior,False
1994,1995,Best original song - motion picture,"Circle of Life, Elton John, Tim Rice",The Lion King,False
1994,1995,Best original song - motion picture,"The Color of the Night, Lauren Christy, Jud J. Friedman, Dominic Frontiere",Color of Night,False
1995,1996,Best motion picture - drama,Sense and Sensibility,Sense and Sensibility,True
1995,1996,Best motion picture - drama,Braveheart,Braveheart,False
1995,1996,Best motion picture - drama,"Bridges of Madison County, The","Bridges of Madison County, The",False
1995,1996,Best motion picture - drama,Leaving Las Vegas,Leaving Las Vegas,False
1995,1996,Best motion picture - drama,Apollo 13,Apollo 13,False
1995,1996,Best motion picture - musical or comedy,Babe,Babe,True
1995,1996,Best motion picture - musical or comedy,"American President, The","American President, The",False
1995,1996,Best motion picture - musical or comedy,Get Shorty,Get Shorty,False
1995,1996,Best motion picture - musical or comedy,Sabrina (1995),Sabrina (1995),False
1995,1996,Best motion picture - musical or comedy,Toy Story,Toy Story,False
1995,1996,Best actress - drama,Sharon Stone,Casino,True
1995,1996,Best actress - drama,Susan Sarandon,Dead Man Walking,False
1995,1996,Best actress - drama,Elisabeth Shue,Leaving Las Vegas,False
1995,1996,Best actress - drama,Meryl Streep,"Bridges of Madison County, The",False
1995,1996,Best actress - drama,Emma Thompson,Sense and Sensibility,False
1995,1996,Best actor - drama,Nicolas Cage,Leaving Las Vegas,True
1995,1996,Best actor - drama,Richard Dreyfuss,Mr. Holland's Opus,False
1995,1996,Best actor - drama,Anthony Hopkins,Nixon,False
